Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
577,173969,8914,S-133,Sharing and Caring - Clayton,477598,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10310,1,0.0,0.0,4.86,27.0,52.11,-47.25,RABUN,0.18,02/06/2024 09:50:00 AM,02/06/2024 01:04:33 PM,Price Code 1,CUSTOMER PICKUP,USDA DICED POTATOES,False,Rabun Warehouse,02,30525,Clayton
824,169307,5388,R-124,Rabun Gap Presbyterian Church,472942,,FP/USDA,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,1075,0.0,0.0,0.0,1075.0,2074.75,-2074.75,RABUN,0.0,10/19/2023 08:57:00 AM,10/20/2023 07:09:54 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30568,Rabun Gap
602,168329,2202,10-NGAR,Food Bank of Northeast Georgia Rabun,471965,,FOOD BANK,EMERGENCY-Agency,USDA,N-50-10240,13,0.0,0.0,0.0,286.0,551.98,-551.98,RABUN,0.0,10/02/2023 08:55:00 AM,10/02/2023 10:20:14 AM,Price Code 1,CUSTOMER PICKUP,USDA SPAGHETTI,False,Rabun Warehouse,02,30525,Clayton
905,166959,2426,R-127,Rabun Christian Food Ministry,470814,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10112,6,0.0,0.0,27.0,150.0,289.5,-262.5,RABUN,0.18,09/07/2023 11:38:00 AM,09/14/2023 08:44:10 AM,Price Code 1,CUSTOMER PICKUP,USDA PISTACHIOS,False,Rabun Warehouse,02,30525,Clayton
577,165224,5938,S-133,Sharing and Caring - Clayton,469082,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,28,0.0,0.0,0.84,28.0,54.04,-53.2,RABUN,0.03,07/25/2023 12:05:00 PM,07/25/2023 01:28:15 PM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Rabun Warehouse,02,30525,Clayton
731,180785,690,F-138,Freedom Ministries Lighthouse,483391,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,242,0.0,0.0,7.26,242.0,467.06,-459.8,RABUN,0.03,05/14/2024 10:11:00 AM,05/14/2024 11:11:50 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30552,Lakemont
577,178056,3122,S-133,Sharing and Caring - Clayton,480675,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10174,2,0.0,0.0,0.0,28.0,54.04,-54.04,RABUN,0.0,04/02/2024 09:50:00 AM,04/02/2024 01:35:38 PM,Price Code 1,CUSTOMER PICKUP,"GNAP BLACKEYE PEAS, LOW SODIUM",False,Rabun Warehouse,02,30525,Clayton
577,170018,3139,S-133,Sharing and Caring - Clayton,473651,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10290,1,0.0,0.0,4.5,25.0,48.25,-43.75,RABUN,0.18,11/07/2023 02:26:31 PM,11/07/2023 01:05:08 PM,Price Code 1,CUSTOMER PICKUP,USDA WHOLE ALMONDS DRY ROASTED,False,Rabun Warehouse,02,30525,Clayton
824,170737,5938,R-124,Rabun Gap Presbyterian Church,474368,,FP/USDA,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,5000,0.0,0.0,0.0,5000.0,9650.0,-9650.0,RABUN,0.0,11/16/2023 08:57:00 AM,11/16/2023 01:42:39 PM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Rabun,02-SH,30568,Rabun Gap
773,169773,5388,P-122,Persimmon Baptist Church,473406,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,21,0.0,0.0,3.78,21.0,40.53,-36.75,RABUN,0.18,10/30/2023 11:44:00 AM,10/30/2023 09:19:20 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
364,178102,696,M-110,Mountain Grove Baptist Church,480721,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,81,0.0,0.0,14.58,81.0,156.33,-141.75,RABUN,0.18,04/02/2024 01:32:00 PM,04/02/2024 09:40:59 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Rabun Warehouse,02,30525,Clayton
577,168834,5388,S-133,Sharing and Caring - Clayton,472469,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,24,0.0,0.0,4.32,24.0,46.32,-42.0,RABUN,0.18,10/10/2023 09:50:00 AM,10/10/2023 01:18:36 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
731,168747,235,F-138,Freedom Ministries Lighthouse,472382,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-03-10012,30,0.0,0.0,0.9,30.0,57.9,-57.0,RABUN,0.03,10/09/2023 10:11:00 AM,10/09/2023 10:22:22 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, LL",False,Sharing Floor Rabun,02-SH,30552,Lakemont
602,182057,170,10-NGAR,Food Bank of Northeast Georgia Rabun,484661,,FOOD BANK,EMERGENCY-Agency,USDA,N-50-10007,14,0.0,0.0,0.0,392.0,756.56,-756.56,RABUN,0.0,06/10/2024 08:55:00 AM,06/10/2024 07:40:15 AM,Price Code 1,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Rabun Warehouse,02,30525,Clayton
577,182434,683,S-133,Sharing and Caring - Clayton,485038,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,29,0.0,0.0,5.22,29.0,55.97,-50.75,RABUN,0.18,06/20/2024 09:50:00 AM,06/20/2024 01:48:42 PM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Rabun,02-SH,30525,Clayton
577,181142,690,S-133,Sharing and Caring - Clayton,483747,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,32,0.0,0.0,0.96,32.0,61.76,-60.8,RABUN,0.03,05/21/2024 09:50:00 AM,05/21/2024 01:33:48 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
577,170392,4555,S-133,Sharing and Caring - Clayton,474024,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,F-50-90042,1,0.0,0.0,7.2,40.0,77.2,-70.0,RABUN,0.18,11/14/2023 09:50:00 AM,11/14/2023 01:25:53 PM,Price Code 1,CUSTOMER PICKUP,USDA CHICKEN DRUMSTICKS CCC,False,Rabun Warehouse,02,30525,Clayton
602,167462,2202,10-NGAR,Food Bank of Northeast Georgia Rabun,471315,,FOOD BANK,EMERGENCY-Agency,USDA,N-50-10240,11,0.0,0.0,0.0,242.0,464.64,-464.64,RABUN,0.0,09/14/2023 08:55:00 AM,09/14/2023 08:49:07 AM,Price Code 1,CUSTOMER PICKUP,USDA SPAGHETTI,False,Rabun Warehouse,02,30525,Clayton
773,180687,688,P-122,Persimmon Baptist Church,483293,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,38,0.0,0.0,6.84,38.0,73.34,-66.5,RABUN,0.18,05/13/2024 11:44:00 AM,05/13/2024 08:06:05 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
602,182521,5960,10-NGAR,Food Bank of Northeast Georgia Rabun,485124,,FOOD BANK,EMERGENCY-Agency,BLUE RECEIPT-SHL,C-07-10001,664,0.0,0.0,0.0,664.0,1281.52,-1281.52,RABUN,0.0,06/24/2024 08:55:00 AM,06/24/2024 09:34:34 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCT, ASSORTED SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
364,172535,5388,M-110,Mountain Grove Baptist Church,476166,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,159,0.0,0.0,28.62,159.0,306.87,-278.25,RABUN,0.18,01/04/2024 01:32:00 PM,01/04/2024 10:36:08 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
658,169353,5388,W-130,Wolf Creek Baptist Church,472988,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,29,0.0,0.0,5.22,29.0,55.97,-50.75,RABUN,0.18,10/20/2023 04:14:00 PM,10/20/2023 08:15:36 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30576,Tiger
450,166180,5388,C-132,Clayton First United Methodist,470035,,OP/GNAP,DAY CARE-Agency,BLUE RECEIPT-SHL,F-16-10001,29,0.0,0.0,5.22,29.0,55.97,-50.75,RABUN,0.18,08/17/2023 04:11:00 PM,08/17/2023 10:53:22 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Rabun Warehouse,02,30525,Clayton
