Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
1067,197248,8485,B-144,Bowman United Methodist Church,499545,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-10251,2,0.0,0.0,0.0,60.0,115.8,-115.8,ELBERT,0.0,04/08/2025 12:00:00 PM,04/24/2025 09:46:27 AM,Price Code 1,CONTACT FOR DELIVERY,DIET DR PEPPER,False,Food Bank of Northeast Georgia,01,30624,Bowman
1063,190644,112,P-129,Pleasant Grove Baptist Church,492972,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10031,2,0.0,0.0,9.72,54.0,104.22,-94.5,ELBERT,0.18,12/10/2024 01:00:00 PM,12/27/2024 11:40:37 AM,Price Code 1,CONTACT FOR DELIVERY,USDA SLICED PEACHES LIGHT/SYRUP,False,Food Bank of Northeast Georgia,01,30624,Bowman
1063,192189,2202,P-129,Pleasant Grove Baptist Church,494509,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,3,0.0,0.0,11.88,66.0,127.38,-115.5,ELBERT,0.18,01/14/2025 01:00:00 PM,01/15/2025 07:02:03 AM,Price Code 1,CONTACT FOR DELIVERY,USDA SPAGHETTI,False,Food Bank of Northeast Georgia,01,30624,Bowman
1064,194736,800,S-148,Sharing and Caring - Bowman,497047,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10065,3,0.0,0.0,14.58,81.0,156.33,-141.75,ELBERT,0.18,03/11/2025 11:30:00 AM,03/12/2025 07:47:35 AM,Price Code 1,CONTACT FOR DELIVERY,USDA APPLESAUCE,False,Food Bank of Northeast Georgia,01,30624,Bowman
1064,190895,7083,S-148,Sharing and Caring - Bowman,493222,,FP/USDA,FOOD PANTRY-Agency,USDA,C-50-10029,5,0.0,0.0,10.8,60.0,115.8,-105.0,ELBERT,0.18,12/10/2024 11:30:00 AM,12/16/2024 07:47:00 AM,Price Code 1,CONTACT FOR DELIVERY,"USDA MILD CHEDDAR CHEESE, BLOCK CCC",False,Food Bank of Northeast Georgia,01,30624,Bowman
1063,197503,9422,P-129,Pleasant Grove Baptist Church,499800,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10325,2,0.0,0.0,9.72,54.0,104.22,-94.5,ELBERT,0.18,04/08/2025 01:00:00 PM,04/29/2025 09:42:23 AM,Price Code 1,CONTACT FOR DELIVERY,USDA Green Beans CCC ,False,Food Bank of Northeast Georgia,01,30624,Bowman
1065,193505,7083,E-122,Elbert County UMC Food Ministry,495820,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10029,31,0.0,0.0,66.96,372.0,717.96,-651.0,ELBERT,0.18,02/12/2025 12:00:00 AM,02/14/2025 10:32:16 AM,Price Code 1,CONTACT FOR DELIVERY,"USDA MILD CHEDDAR CHEESE, BLOCK CCC",False,Food Bank of Northeast Georgia,01,30635,Elberton
1064,191972,9351,S-148,Sharing and Caring - Bowman,494294,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-90558,5,0.0,0.0,0.0,205.0,395.65,-395.65,ELBERT,0.0,01/14/2025 11:30:00 AM,01/15/2025 07:00:54 AM,Price Code 1,CONTACT FOR DELIVERY,Spaghetti Squash SHL,False,Food Bank of Northeast Georgia,01,30624,Bowman
1063,189122,4449,P-129,Pleasant Grove Baptist Church,491456,,FP/USDA,FOOD PANTRY-Agency,USDA,F-50-90445,2,0.0,0.0,0.0,82.0,158.26,-158.26,ELBERT,0.0,11/12/2024 01:00:00 PM,11/25/2024 10:57:14 AM,Price Code 1,CONTACT FOR DELIVERY,USDA FULLY COOKED PULLED PORK CCC,False,Food Bank of Northeast Georgia,01,30624,Bowman
1067,195525,3253,B-144,Bowman United Methodist Church,497831,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10231,5,0.0,0.0,13.5,135.0,260.55,-247.05,ELBERT,0.1,03/11/2025 12:00:00 PM,03/12/2025 08:32:50 AM,Price Code 1,CONTACT FOR DELIVERY,USDA 1% LOWFAT MILK,False,Food Bank of Northeast Georgia,01,30624,Bowman
