Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
227,187482,690,10-AUG,Golden Harvest,489830,,FOOD BANK,FOOD BANK,BLUE RECEIPT-SHL,W-03-10013,2162,0.0,0.0,0.0,2162.0,4172.66,-4172.66,FBSHARE,0.0,09/30/2024 12:00:00 AM,09/30/2024 06:55:53 AM,Price Code 1,TRUCK 1,"ASSORTED BEVERAGES, SHL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187609,9256,10-AUG,Golden Harvest,489955,,FOOD BANK,FOOD BANK,BLUE RECEIPT-SHL,N-03-11866,72,0.0,0.0,0.0,1944.0,3751.92,-3751.92,FBSHARE,0.0,10/01/2024 12:00:00 AM,10/01/2024 09:17:30 AM,Price Code 1,TRUCK 1,LIPTON DIET MIXED BERRY GREEN TEA,False,Food Bank of Northeast Georgia,01,,Augusta
227,187609,690,10-AUG,Golden Harvest,489955,,FOOD BANK,FOOD BANK,BLUE RECEIPT-SHL,W-03-10013,2242,0.0,0.0,0.0,2242.0,4327.06,-4327.06,FBSHARE,0.0,10/01/2024 12:00:00 AM,10/01/2024 09:17:30 AM,Price Code 1,TRUCK 1,"ASSORTED BEVERAGES, SHL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187867,690,10-AUG,Golden Harvest,490211,,FOOD BANK,FOOD BANK,BLUE RECEIPT-SHL,W-03-10013,2026,0.0,0.0,0.0,2026.0,3910.18,-3910.18,FBSHARE,0.0,10/04/2024 12:00:00 AM,10/04/2024 07:13:49 AM,Price Code 1,TRUCK 1,"ASSORTED BEVERAGES, SHL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187793,690,10-AUG,Golden Harvest,490138,,FOOD BANK,FOOD BANK,BLUE RECEIPT-SHL,W-03-10013,2626,0.0,0.0,0.0,2626.0,5068.18,-5068.18,FBSHARE,0.0,10/03/2024 01:29:00 PM,10/03/2024 08:44:20 AM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED BEVERAGES, SHL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187609,2081,10-AUG,Golden Harvest,489955,,FOOD BANK,FOOD BANK,BLUE RECEIPT-SHL,W-30-10002,776,0.0,0.0,0.0,776.0,1497.68,-1497.68,FBSHARE,0.0,10/01/2024 12:00:00 AM,10/01/2024 09:17:30 AM,Price Code 1,TRUCK 1,"UNSORTED SALVAGE, SHL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187867,235,10-AUG,Golden Harvest,490211,,FOOD BANK,FOOD BANK,LOCAL - LL,W-03-10012,5681,0.0,0.0,0.0,5681.0,10964.33,-10964.33,FBSHARE,0.0,10/04/2024 12:00:00 AM,10/04/2024 07:13:49 AM,Price Code 1,TRUCK 1,"ASSORTED BEVERAGES, LL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187690,696,10-AUG,Golden Harvest,490036,,FOOD BANK,FOOD BANK,LOCAL - LL,W-25-10000,824,0.0,0.0,0.0,824.0,1590.32,-1590.32,FBSHARE,0.0,10/02/2024 01:29:00 PM,10/04/2024 09:32:05 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187482,696,10-AUG,Golden Harvest,489830,,FOOD BANK,FOOD BANK,LOCAL - LL,W-25-10000,2989,0.0,0.0,0.0,2989.0,5768.77,-5768.77,FBSHARE,0.0,09/30/2024 12:00:00 AM,09/30/2024 06:55:53 AM,Price Code 1,TRUCK 1,"ASSORTED SNACK ITEMS, LL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187690,235,10-AUG,Golden Harvest,490036,,FOOD BANK,FOOD BANK,LOCAL - LL,W-03-10012,3908,0.0,0.0,0.0,3908.0,7542.44,-7542.44,FBSHARE,0.0,10/02/2024 01:29:00 PM,10/04/2024 09:32:05 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, LL",False,Food Bank of Northeast Georgia,01,,Augusta
227,187609,8869,10-AUG,Golden Harvest,489955,,FOOD BANK,FOOD BANK,YELLOW RECEIPT - SHN,N-20-10004,60,0.0,0.0,0.0,180.0,0.0,0.0,FBSHARE,0.0,10/01/2024 12:00:00 AM,10/01/2024 09:17:30 AM,Price Code 1,TRUCK 1,PAMPERS PREEMIE SWADDLERS,False,Food Bank of Northeast Georgia,01,,Augusta
