Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
198,189253,9157,S-112,Sharing and Caring - Clarkesville,491586,,FP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-27-10143,2,0.0,0.0,9.72,54.0,0.0,9.72,HABERSHAM,0.18,11/05/2024 01:49:00 PM,11/05/2024 07:09:28 AM,Price Code 1,CUSTOMER PICKUP,GREAT VALUE GOLDEN SWEET WHOLE KERNEL CORN,False,Rabun Warehouse,02,30523,Clarkesville
1085,187810,9285,H-161-F2K,Helping Hands Ministry F2K,490155,,,CHILDREN-Food Bank,YELLOW RECEIPT - SHN,N-25-11993,2,0.0,0.0,1.8,10.0,0.0,1.8,HABERSHAM,0.18,10/10/2024 09:29:04 AM,10/29/2024 02:43:09 PM,Price Code 1,CONTACT FOR DELIVERY,SOUR PATCH KIDS WATERMELON,False,Food Bank of Northeast Georgia,01,30523,Clarkesville
329,184103,8690,O-109,Open Door Food Ministry (The Torch Church of God),486702,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10302,50,0.0,0.0,0.0,700.0,1351.0,-1351.0,HABERSHAM,0.0,08/03/2024 07:00:00 AM,08/03/2024 09:40:43 AM,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,USDA GREEN BEANS CCC,False,Food Bank of Northeast Georgia,01,30531,Cornelia
268,196615,5388,V-100,Victory Home / Helping Hand,498915,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,F-16-10001,27,0.0,0.0,4.86,27.0,52.11,-47.25,HABERSHAM,0.18,03/19/2025 01:55:00 PM,03/19/2025 10:49:16 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30573,Tallulah Falls
329,187390,5388,O-109,Open Door Food Ministry (The Torch Church of God),489739,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,776,0.0,0.0,77.6,776.0,1497.68,-1420.08,HABERSHAM,0.1,10/01/2024 02:23:00 PM,10/14/2024 12:08:15 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Food Bank of Northeast Georgia,01,30531,Cornelia
809,184274,8972,B-123,Breaking Chains Ministries d.b.a Freedom Hill,FAIMPORT486873,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCF-15-10000,45,0.0,0.0,0.0,45.0,86.85,-86.85,HABERSHAM,0.0,07/22/2024 12:00:00 AM,07/22/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"FROZEN MEAT & SEAFOOD, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30535,Demorest
665,203264,9105,C-173,Clarkesville Church of God,503558,,FP/GNAP/USDA,FAITH-BASED-Agency,GNAP,N-40-10298,4,0.0,0.0,2.0,40.0,77.2,-75.2,HABERSHAM,0.05,06/10/2025 08:00:00 AM,06/10/2025 08:49:17 AM,Price Code 1,CUSTOMER PICKUP,GNAP CHICKEN NOODLE SOUP,False,Food Bank of Northeast Georgia,01,30523,Clarkesville
198,185152,9157,S-112,Sharing and Caring - Clarkesville,487748,,FP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-27-10143,2,0.0,0.0,9.72,54.0,0.0,9.72,HABERSHAM,0.18,08/20/2024 01:49:00 PM,08/20/2024 08:28:02 AM,Price Code 1,CUSTOMER PICKUP,GREAT VALUE GOLDEN SWEET WHOLE KERNEL CORN,False,Rabun Warehouse,02,30523,Clarkesville
1060,188833,9084,H-161,Helping Hands Ministry,491168,,FP/GNAP/USDA,FAITH-BASED-Agency,USDA,N-50-10315,4,0.0,0.0,19.44,108.0,208.44,-189.0,HABERSHAM,0.18,10/24/2024 08:00:00 AM,10/24/2024 08:22:04 AM,Price Code 1,CONTACT FOR DELIVERY,USDA CANNED SALMON,False,Rabun Warehouse,02,30580,Turnerville
1098,190942,9191,F-142-F2K,First Presbyterian of Cornelia F2K,493269,,,CHILDREN-Food Bank,F2K-O,N-82-10019,1,56.0,0.0,0.0,22.0,42.46,13.54,HABERSHAM,0.0,12/03/2024 03:21:00 PM,12/03/2024 10:23:35 AM,Price Code 1,CUSTOMER PICKUP,F2K OATMEAL APPLE CINNAMON,False,Food Bank of Northeast Georgia,01,30531,Cornelia
