Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
526,200271,9047,T-118,Towns County Food Pantry,502564,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10281,15,0.0,0.0,7.5,150.0,289.5,-282.0,TOWNS,0.05,05/21/2025 12:00:00 PM,05/21/2025 02:40:53 PM,Price Code 1,CUSTOMER PICKUP,GNAP LASAGNA DINNER ,False,Rabun Warehouse,02,30582,Young Harris
1099,195738,5388,C-188,Christ for All People Ministries,498043,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,110,0.0,0.0,19.8,110.0,212.3,-192.5,TOWNS,0.18,03/04/2025 08:00:00 AM,03/04/2025 03:19:31 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30546,Hiawassee
411,183193,5938,M-103,Mt. Zion Ministries - The Refuge,485794,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,C-28-10001,192,0.0,0.0,5.76,192.0,370.56,-364.8,TOWNS,0.03,07/10/2024 02:31:00 PM,07/10/2024 08:33:21 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Rabun,02-SH,30546,Hiawassee
526,186802,8783,T-118,Towns County Food Pantry,489383,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10308,10,0.0,0.0,41.4,230.0,443.9,-402.5,TOWNS,0.18,09/20/2024 03:21:00 PM,09/20/2024 07:21:58 AM,Price Code 1,CUSTOMER PICKUP,USDA RAISINS,False,Rabun Warehouse,02,30582,Young Harris
526,195558,170,T-118,Towns County Food Pantry,497864,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,10,0.0,0.0,50.4,280.0,540.4,-490.0,TOWNS,0.18,03/05/2025 12:00:00 PM,03/06/2025 07:15:14 AM,Price Code 1,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Rabun Warehouse,02,30582,Young Harris
411,184615,690,M-103,Mt. Zion Ministries - The Refuge,487214,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,148,0.0,0.0,0.0,148.0,285.64,-285.64,TOWNS,0.0,08/07/2024 02:31:00 PM,08/07/2024 08:32:29 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30546,Hiawassee
526,200679,696,T-118,Towns County Food Pantry,502971,,FP/GNAP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,54,0.0,0.0,9.72,54.0,104.22,-94.5,TOWNS,0.18,05/27/2025 12:00:00 PM,05/27/2025 11:11:08 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Rabun,02-SH,30582,Young Harris
411,183416,842,M-103,Mt. Zion Ministries - The Refuge,486017,,FP/USDA,FAITH-BASED-Agency,USDA,N-50-10021,13,0.0,0.0,0.0,351.0,677.43,-677.43,TOWNS,0.0,07/17/2024 02:31:00 PM,07/18/2024 09:19:48 AM,Price Code 1,CUSTOMER PICKUP,USDA DICED TOMATOES NO SALT CCC,False,Rabun Warehouse,02,30546,Hiawassee
1099,203768,9383,C-188,Christ for All People Ministries,504060,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10308,5,0.0,0.0,3.0,60.0,115.8,-112.8,TOWNS,0.05,06/16/2025 08:00:00 AM,06/16/2025 07:53:28 AM,Price Code 1,CUSTOMER PICKUP,GNAP 1% Milk,False,Rabun Warehouse,02,30546,Hiawassee
411,191188,688,M-103,Mt. Zion Ministries - The Refuge,493515,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-01-10000,81,0.0,0.0,14.58,81.0,156.33,-141.75,TOWNS,0.18,12/04/2024 12:00:00 PM,12/04/2024 08:35:27 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Rabun,02-SH,30546,Hiawassee
