Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
188,180408,123,S-102,Sharing and Caring - Cornelia,483014,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10002,80,0,0,0.0,1200,HABERSHAM,0.0,5/15/2024 8:30,5/15/2024 7:19,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30531.0,Cornelia,GNAP PEANUT BUTTER,Dry Dry Dry Dry Proteins
665,175966,8783,C-173,Clarkesville Church of God,478594,,FP/GNAP/USDA,FAITH-BASED-Agency,USDA,N-50-10308,1,0,0,4.14,23,HABERSHAM,0.18,3/6/2024 9:35,3/11/2024 9:35,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30523.0,Clarkesville,USDA RAISINS,Dry Dry Dry Dry Fruits
665,172842,690,C-173,Clarkesville Church of God,476473,,FP/GNAP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,136,0,0,4.08,136,HABERSHAM,0.03,1/10/2024 9:35,1/10/2024 8:38,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30523.0,Clarkesville,"ASSORTED BEVERAGES, SHL",Dry Dry Dry Dry Beverages
268,172469,683,V-100,Victory Home / Helping Hand,476100,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,60,0,0,10.8,60,HABERSHAM,0.18,1/3/2024 13:55,1/3/2024 10:43,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30573.0,Tallulah Falls,MISC. FOOD BOX SHL,Dry Dry Dry Dry Food Misc.
665,178129,8958,C-173,Clarkesville Church of God,480748,,FP/GNAP/USDA,FAITH-BASED-Agency,YELLOW RECEIPT - SHN,N-25-11957,1,0,0,0.54,3,HABERSHAM,0.18,4/10/2024 9:35,4/10/2024 9:20,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30523.0,Clarkesville,WHEAT THINS BIG,Dry Dry Dry Dry Grains
623,179076,5388,C-171,Clarkesville Soup Kitchen,481690,,OP/USDA,SOUP KITCHEN-Agency,BLUE RECEIPT-SHL,F-16-10001,33,0,0,5.94,33,HABERSHAM,0.18,4/17/2024 11:47,4/17/2024 7:33,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30523.0,Clarkesville,"ASSORTED FROZEN FOODS, SHL",Frozen Frozen Frozen Frozen Food Misc.
649,180418,8994,G-132,Glade Creek Baptist Church,483024,,FP/GNAP/USDA,FAITH-BASED-Agency,GNAP,N-40-10269,2,0,0,0.0,54,HABERSHAM,0.0,5/14/2024 8:30,5/14/2024 7:27,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30563.0,Mt Airy,"GNAP GREEN BEANS, WHOLE",Dry Dry Dry Dry Vegetables
198,176666,683,S-112,Sharing and Caring - Clarkesville,479289,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,107,0,0,19.26,107,HABERSHAM,0.18,3/5/2024 13:49,3/5/2024 8:31,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30523.0,Clarkesville,MISC. FOOD BOX SHL,Dry Dry Dry Dry Food Misc.
268,178240,696,V-100,Victory Home / Helping Hand,480856,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,31,0,0,5.58,31,HABERSHAM,0.18,4/3/2024 13:55,4/3/2024 10:33,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30573.0,Tallulah Falls,"ASSORTED SNACK ITEMS, LL",Dry Dry Dry Dry Food Misc.
665,178129,3943,C-173,Clarkesville Church of God,480748,,FP/GNAP/USDA,FAITH-BASED-Agency,USDA,N-50-10268,2,0,0,2.28,76,HABERSHAM,0.03,4/10/2024 9:35,4/10/2024 9:20,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30523.0,Clarkesville,USDA APPLE JUICE,Dry Dry Dry Dry Beverages
55,175129,683,C-116,Circle of Hope,477758,,ON PREMISES (OP),SHELTER-Agency,BLUE RECEIPT-SHL,W-16-10001,31,0,0,5.58,31,HABERSHAM,0.18,2/5/2024 12:27,2/5/2024 11:51,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30531.0,Cornelia,MISC. FOOD BOX SHL,Dry Dry Dry Dry Food Misc.
329,181607,170,O-109,Open Door Food Ministry (The Torch Church of God),484211,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,25,0,0,0.0,700,HABERSHAM,0.0,5/30/2024 14:23,6/1/2024 9:10,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30531.0,Cornelia,"USDA CORN, WHOLE KERNEL NO SALT",Dry Dry Dry Dry Vegetables
268,176751,1045,V-100,Victory Home / Helping Hand,479374,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-25-10009,11,0,0,1.98,11,HABERSHAM,0.18,3/6/2024 13:55,3/6/2024 10:04,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30573.0,Tallulah Falls,"ASSORTED SNACK ITEMS, SHL",Dry Dry Dry Dry Food Misc.
198,173821,5388,S-112,Sharing and Caring - Clarkesville,477450,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,64,0,0,11.52,64,HABERSHAM,0.18,1/30/2024 13:49,1/30/2024 9:09,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30523.0,Clarkesville,"ASSORTED FROZEN FOODS, SHL",Frozen Frozen Frozen Frozen Food Misc.
198,178404,8997,S-112,Sharing and Caring - Clarkesville,481020,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10312,5,0,0,10.8,60,HABERSHAM,0.18,4/9/2024 9:00,4/9/2024 7:43,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30523.0,Clarkesville,USDA CHILI W/ BEANS CCC,Dry Dry Dry Dry Prepared Meals
188,180874,7169,S-102,Sharing and Caring - Cornelia,483480,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10236,6,0,0,0.0,84,HABERSHAM,0.0,5/30/2024 11:00,5/30/2024 7:14,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30531.0,Cornelia,GNAP BEEF LASAGNA,Dry Dry Dry Dry Prepared Meals
329,181607,9073,O-109,Open Door Food Ministry (The Torch Church of God),484211,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10051,217,0,0,0.0,2604,HABERSHAM,0.0,5/30/2024 14:23,6/1/2024 9:10,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30531.0,Cornelia,USDA SHREDDED MOZZARELLA CHEESE CCC,Cooled Cooled Cooled Cooled Dairy
329,176281,170,O-109,Open Door Food Ministry (The Torch Church of God),478906,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,25,0,0,0.0,700,HABERSHAM,0.0,3/2/2024 7:00,3/4/2024 6:57,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30531.0,Cornelia,"USDA CORN, WHOLE KERNEL NO SALT",Dry Dry Dry Dry Vegetables
198,175543,1045,S-112,Sharing and Caring - Clarkesville,478172,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-25-10009,131,0,0,23.58,131,HABERSHAM,0.18,2/13/2024 13:49,2/13/2024 9:02,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30523.0,Clarkesville,"ASSORTED SNACK ITEMS, SHL",Dry Dry Dry Dry Food Misc.
665,173122,8920,C-173,Clarkesville Church of God,476752,,FP/GNAP/USDA,FAITH-BASED-Agency,LOCAL - LL,N-25-11952,3,0,0,1.62,9,HABERSHAM,0.18,1/23/2024 9:35,1/23/2024 9:34,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30523.0,Clarkesville,FAMOUS AMOS COCONUT BITE SIZE COOKIES,Dry Dry Dry Dry Food Misc.
329,172495,7094,O-109,Open Door Food Ministry (The Torch Church of God),476126,,FP/GNAP/USDA,FOOD PANTRY-Agency,PURCH,N-21-10056,25,0,0,0.0,300,HABERSHAM,0.0,1/6/2024 7:00,1/9/2024 11:26,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30531.0,Cornelia,MACARONI & CHEESE,Dry Dry Dry Dry Prepared Meals
665,181451,4411,C-173,Clarkesville Church of God,484055,,FP/GNAP/USDA,FAITH-BASED-Agency,USDA,F-50-90465,1,0,0,3.78,21,HABERSHAM,0.18,6/6/2024 8:00,6/6/2024 9:04,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30523.0,Clarkesville,USDA WILD CAUGHT GULF SHRIMP,Frozen Frozen Frozen Frozen Proteins
665,181905,9089,C-173,Clarkesville Church of God,484509,,FP/GNAP/USDA,FAITH-BASED-Agency,GNAP,N-40-10292,4,0,0,0.0,28,HABERSHAM,0.0,6/20/2024 8:30,6/25/2024 15:47,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30523.0,Clarkesville,GNAP HONEY RINGS MULTIGRAIN CEREAL,Dry Dry Dry Dry Grains
665,177624,690,C-173,Clarkesville Church of God,480244,,FP/GNAP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,77,0,0,0.0,77,HABERSHAM,0.0,3/20/2024 9:35,3/20/2024 8:43,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30523.0,Clarkesville,"ASSORTED BEVERAGES, SHL",Dry Dry Dry Dry Beverages
329,179922,8997,O-109,Open Door Food Ministry (The Torch Church of God),482533,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10312,50,0,0,0.0,600,HABERSHAM,0.0,5/4/2024 7:00,5/4/2024 6:01,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30531.0,Cornelia,USDA CHILI W/ BEANS CCC,Dry Dry Dry Dry Prepared Meals
