Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
482,175107,84,H-134,Hart County Cupboard,477737,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10006,13,0,0,0.0,351,HART,0.0,2/6/2024 8:30,2/20/2024 13:41,Price Code 1,TRACTOR TRAILER 2 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,USDA GREEN BEANS,Dry Vegetables
672,172492,8627,C-167,"Christian Worship Assembly, INC",476123,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10300,25,0,0,0.0,350,HART,0.0,1/6/2024 7:30,1/16/2024 8:23,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,USDA CANNED COLLARD GREENS CCC,Dry Vegetables
696,177620,4449,C-174,Cornerstone Baptist Church,480240,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,F-50-90445,48,0,0,0.0,1968,HART,0.0,3/21/2024 16:09,3/21/2024 9:40,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30643.0,Hartwell,USDA FULLY COOKED PULLED PORK CCC,Frozen Proteins
696,182299,2202,C-174,Cornerstone Baptist Church,484903,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,15,0,0,0.0,330,HART,0.0,6/20/2024 16:09,6/20/2024 16:44,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30643.0,Hartwell,USDA SPAGHETTI,Dry Grains
954,173677,170,O-115,Oak Bower Baptist Church,477306,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,2,0,0,10.08,56,HART,0.18,1/31/2024 11:12,2/7/2024 11:20,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,"USDA CORN, WHOLE KERNEL NO SALT",Dry Vegetables
482,179988,8973,H-134,Hart County Cupboard,FAIMPORT482597,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-16-10001,8,0,0,0.0,8,HART,0.0,4/29/2024 0:00,4/29/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,"COOLER FOOD MISC., SHL RETAIL PICKUP",Dry Food Misc.
954,172514,8720,O-115,Oak Bower Baptist Church,476145,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10305,4,0,0,10.08,56,HART,0.18,1/10/2024 14:00,1/11/2024 12:14,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,USDA MIXED VegetablesCCC,Dry Vegetables
482,179184,8976,H-134,Hart County Cupboard,FAIMPORT481797,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-28-10001,30,0,0,0.0,30,HART,0.0,4/12/2024 0:00,4/12/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,"PRODUCE, SHL RETAIL PICKUPS",Dry Mixed Produce
696,180697,842,C-174,Cornerstone Baptist Church,483303,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10021,13,0,0,0.0,351,HART,0.0,5/16/2024 16:09,5/16/2024 11:36,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30643.0,Hartwell,USDA DICED TOMATOES NO SALT CCC,Dry Vegetables
954,172514,8625,O-115,Oak Bower Baptist Church,476145,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11261,2,0,0,0.0,66,HART,0.0,1/10/2024 14:00,1/11/2024 12:14,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30643.0,Hartwell,STARRY ZERO SUGAR 24 X 20 FL OZ,Dry Beverages
