Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
768,172923,1791,L-110,Living Word Baptist Church,476554,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10079,13,0,0,0.0,338,OCONEE,0.0,1/16/2024 15:00,1/16/2024 13:18,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA WALNUT HALVES AND PIECES,Proteins
1019,178033,8990,F2KOconee County,F2K Oconee County,480652,,FOOD PANTRY,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,N-03-11819,30,0,0,0.0,990,OCONEE,0.0,4/2/2024 15:00,4/11/2024 13:05,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,,,CHERRY DR PEPPER,Beverages
643,182518,875,G-131,"Grace Fellowship Church, INC",485121,,FP/USDA,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,326,0,0,0.0,326,OCONEE,0.0,6/27/2024 15:00,6/27/2024 16:34,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,"BREAD & BAKERY, ASSORTED SHL",Grains
1019,176416,5938,F2KOconee County,F2K Oconee County,479040,,FOOD PANTRY,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,C-28-10001,1270,0,0,0.0,1270,OCONEE,0.0,3/5/2024 15:30,3/20/2024 11:43,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,"PRODUCE, FRESH SHL",Mixed Produce
1019,172554,8873,F2KOconee County,F2K Oconee County,476185,,FOOD PANTRY,AT-RISK YOUTH-Agency,YELLOW RECEIPT - SHN,F-10-10001,6,0,0,0.0,18,OCONEE,0.0,1/9/2024 16:00,1/11/2024 8:47,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,OUTSHINE STRAWBERRY BANANA SMOOTHIE CUBES,Beverages
768,182205,170,L-110,Living Word Baptist Church,484809,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10007,13,0,0,0.0,364,OCONEE,0.0,6/18/2024 14:00,6/18/2024 13:35,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,"USDA CORN, WHOLE KERNEL NO SALT",Vegetables
1019,173541,8918,F2KOconee County,F2K Oconee County,477170,,FOOD PANTRY,AT-RISK YOUTH-Agency,LOCAL - LL,N-25-11950,4,0,0,0.0,8,OCONEE,0.0,2/6/2024 15:30,2/22/2024 11:14,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,GHIRARDELLI DARK CHOCOLATE,Food Misc.
768,172923,8915,L-110,Living Word Baptist Church,476554,,FP/USDA,MOBILE PANTRY-Agency,USDA,F-50-90474,36,0,0,0.0,1440,OCONEE,0.0,1/16/2024 15:00,1/16/2024 13:18,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA PACIFIC SALAD SHRIMP,Proteins
1019,176416,8918,F2KOconee County,F2K Oconee County,479040,,FOOD PANTRY,AT-RISK YOUTH-Agency,LOCAL - LL,N-25-11950,5,0,0,0.0,10,OCONEE,0.0,3/5/2024 15:30,3/20/2024 11:43,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,GHIRARDELLI DARK CHOCOLATE,Food Misc.
643,173391,1791,G-131,"Grace Fellowship Church, INC",477020,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10079,13,0,0,0.0,338,OCONEE,0.0,1/25/2024 15:00,1/25/2024 14:29,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA WALNUT HALVES AND PIECES,Proteins
