Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
577,173969,8914,S-133,Sharing and Caring - Clayton,477598,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10310,1,0,0,4.86,27,RABUN,0.18,2/6/2024 9:50,2/6/2024 13:04,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,USDA DICED POTATOES,Dry Dry Dry Dry Potatoes
731,180785,690,F-138,Freedom Ministries Lighthouse,483391,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,242,0,0,7.26,242,RABUN,0.03,5/14/2024 10:11,5/14/2024 11:11,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30552.0,Lakemont,"ASSORTED BEVERAGES, SHL",Dry Dry Dry Dry Beverages
577,178056,3122,S-133,Sharing and Caring - Clayton,480675,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10174,2,0,0,0.0,28,RABUN,0.0,4/2/2024 9:50,4/2/2024 13:35,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,"GNAP BLACKEYE PEAS, LOW SODIUM",Dry Dry Dry Dry Proteins
364,178102,696,M-110,Mountain Grove Baptist Church,480721,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,81,0,0,14.58,81,RABUN,0.18,4/2/2024 13:32,4/2/2024 9:40,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,"ASSORTED SNACK ITEMS, LL",Dry Dry Dry Dry Food Misc.
602,182057,170,10-NGAR,Food Bank of Northeast Georgia Rabun,484661,,FOOD BANK,EMERGENCY-Agency,USDA,N-50-10007,14,0,0,0.0,392,RABUN,0.0,6/10/2024 8:55,6/10/2024 7:40,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,"USDA CORN, WHOLE KERNEL NO SALT",Dry Dry Dry Dry Vegetables
577,182434,683,S-133,Sharing and Caring - Clayton,485038,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,29,0,0,5.22,29,RABUN,0.18,6/20/2024 9:50,6/20/2024 13:48,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,MISC. FOOD BOX SHL,Dry Dry Dry Dry Food Misc.
577,181142,690,S-133,Sharing and Caring - Clayton,483747,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,32,0,0,0.96,32,RABUN,0.03,5/21/2024 9:50,5/21/2024 13:33,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,"ASSORTED BEVERAGES, SHL",Dry Dry Dry Dry Beverages
773,180687,688,P-122,Persimmon Baptist Church,483293,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,38,0,0,6.84,38,RABUN,0.18,5/13/2024 11:44,5/13/2024 8:06,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,"ASSORTED NON-FOOD ITEMS, SHL",Dry Dry Dry Dry Non-Food Misc.
602,182521,5960,10-NGAR,Food Bank of Northeast Georgia Rabun,485124,,FOOD BANK,EMERGENCY-Agency,BLUE RECEIPT-SHL,C-07-10001,664,0,0,0.0,664,RABUN,0.0,6/24/2024 8:55,6/24/2024 9:34,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,"DAIRY PRODUCT, ASSORTED SHL",Cooled Cooled Cooled Cooled Dairy
364,172535,5388,M-110,Mountain Grove Baptist Church,476166,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,159,0,0,28.62,159,RABUN,0.18,1/4/2024 13:32,1/4/2024 10:36,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,"ASSORTED FROZEN FOODS, SHL",Frozen Frozen Frozen Frozen Food Misc.
577,178611,875,S-133,Sharing and Caring - Clayton,481227,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,10,0,0,0.0,10,RABUN,0.0,4/9/2024 9:50,4/9/2024 13:22,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,"BREAD & BAKERY, ASSORTED SHL",Dry Dry Dry Dry Grains
602,173845,4676,10-NGAR,Food Bank of Northeast Georgia Rabun,477474,,FOOD BANK,EMERGENCY-Agency,USDA,F-50-90031,50,0,0,0.0,1200,RABUN,0.0,1/30/2024 8:55,1/30/2024 13:41,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,USDA FROZEN BLUEBERRIES CCC,Frozen Frozen Frozen Frozen Fruits
731,178593,690,F-138,Freedom Ministries Lighthouse,481209,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,150,0,0,4.5,150,RABUN,0.03,4/9/2024 10:11,4/9/2024 11:10,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30552.0,Lakemont,"ASSORTED BEVERAGES, SHL",Dry Dry Dry Dry Beverages
602,179920,170,10-NGAR,Food Bank of Northeast Georgia Rabun,482531,,FOOD BANK,EMERGENCY-Agency,USDA,N-50-10007,13,0,0,0.0,364,RABUN,0.0,5/1/2024 8:55,5/1/2024 7:09,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,"USDA CORN, WHOLE KERNEL NO SALT",Dry Dry Dry Dry Vegetables
905,172424,8714,R-127,Rabun Christian Food Ministry,476055,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10303,12,0,0,51.84,288,RABUN,0.18,1/12/2024 11:38,1/16/2024 10:54,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,USDA GREEN SPLIT PEAS,Dry Dry Dry Dry Proteins
602,176587,4449,10-NGAR,Food Bank of Northeast Georgia Rabun,479211,,FOOD BANK,EMERGENCY-Agency,USDA,F-50-90445,48,0,0,0.0,1968,RABUN,0.0,3/4/2024 8:55,3/4/2024 7:40,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30525.0,Clayton,USDA FULLY COOKED PULLED PORK CCC,Frozen Frozen Frozen Frozen Proteins
824,180711,8690,R-124,Rabun Gap Presbyterian Church,483317,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10302,170,0,0,0.0,2380,RABUN,0.0,5/17/2024 8:57,5/17/2024 7:19,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30568.0,Rabun Gap,USDA GREEN BEANS CCC,Dry Dry Dry Dry Vegetables
602,177832,5938,10-NGAR,Food Bank of Northeast Georgia Rabun,480451,,FOOD BANK,EMERGENCY-Agency,BLUE RECEIPT-SHL,C-28-10001,653,0,0,0.0,653,RABUN,0.0,3/25/2024 8:55,3/27/2024 8:07,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30525.0,Clayton,"PRODUCE, FRESH SHL",Cooled Cooled Cooled Cooled Mixed Produce
824,182066,3203,R-124,Rabun Gap Presbyterian Church,484670,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10289,66,0,0,0.0,1650,RABUN,0.0,6/14/2024 8:57,6/20/2024 15:30,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30568.0,Rabun Gap,USDA PECAN PIECES,Dry Dry Dry Dry Proteins
824,179084,1521,R-124,Rabun Gap Presbyterian Church,481698,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10104,80,0,0,0.0,2000,RABUN,0.0,4/17/2024 8:57,4/22/2024 8:49,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30568.0,Rabun Gap,USDA LENTIL BEANS,Dry Dry Dry Dry Proteins
824,177996,8991,R-124,Rabun Gap Presbyterian Church,480615,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10311,1,0,0,4.32,24,RABUN,0.18,3/31/2024 8:57,3/31/2024 21:27,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30568.0,Rabun Gap,USDA HAZELNUTS CCC,Dry Dry Dry Dry Proteins
731,181824,683,F-138,Freedom Ministries Lighthouse,484428,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,79,0,0,14.22,79,RABUN,0.18,6/3/2024 10:11,6/3/2024 14:41,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30552.0,Lakemont,MISC. FOOD BOX SHL,Dry Dry Dry Dry Food Misc.
658,178807,8497,W-130,Wolf Creek Baptist Church,481421,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10048,2,0,0,3.2,64,RABUN,0.05,4/11/2024 16:14,4/11/2024 10:50,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30576.0,Tiger,USDA MANDARIN ORANGES,Cooled Cooled Cooled Cooled Fruits
658,178671,8995,W-130,Wolf Creek Baptist Church,481287,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-21-10067,1,0,0,0.9,5,RABUN,0.18,4/11/2024 16:14,4/11/2024 11:02,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30576.0,Tiger,"RAMEN, MARUCHAN SHRIMP",Dry Dry Dry Dry Prepared Meals
