Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
399,177543,8690,S-125,The Salvation Army - Toccoa Co,480163,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,USDA,N-50-10302,12,0,0,30.24,168,STEPHENS,0.18,3/26/2024 8:00,3/26/2024 7:26,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30577.0,Toccoa,USDA GREEN BEANS CCC,Vegetables
631,173604,683,N-119,New Hope Baptist Church Toccoa,477233,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,66,0,0,11.88,66,STEPHENS,0.18,1/25/2024 15:12,1/25/2024 10:29,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,MISC. FOOD BOX SHL,Food Misc.
722,176968,683,M-136,Miracles Happen Recovery Residence INC,479590,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,136,0,0,24.48,136,STEPHENS,0.18,3/8/2024 12:01,3/8/2024 14:20,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30577.0,Toccoa,MISC. FOOD BOX SHL,Food Misc.
755,173143,690,R-121,Rehoboth Assembly of God,476773,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,46,0,0,1.38,46,STEPHENS,0.03,1/16/2024 13:40,1/16/2024 15:45,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED BEVERAGES, SHL",Beverages
968,177576,8973,C-180,Circle of Hope Transitional Housing,FAIMPORT480196,,ON PREMISES (OP),RESIDENTIAL-Agency,BLUE RECEIPT-SHL,MCC-16-10001,105,0,0,0.0,105,STEPHENS,0.0,3/19/2024 0:00,3/19/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30571.0,Eastanollee,"COOLER FOOD MISC., SHL RETAIL PICKUP",Food Misc.
546,180920,5388,H-137,Hill Street Baptist Church,483526,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,F-16-10001,32,0,0,5.76,32,STEPHENS,0.18,5/16/2024 15:21,5/16/2024 8:21,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED FROZEN FOODS, SHL",Food Misc.
722,179786,8976,M-136,Miracles Happen Recovery Residence INC,FAIMPORT482399,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCC-28-10001,11,0,0,0.0,11,STEPHENS,0.0,4/25/2024 0:00,4/25/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"PRODUCE, SHL RETAIL PICKUPS",Mixed Produce
1028,182539,688,V-107,Voice of Hope SDA Church,485142,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-01-10000,53,0,0,0.0,53,STEPHENS,0.0,6/25/2024 8:45,6/25/2024 8:53,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30577.0,Toccoa,"ASSORTED NON-FOOD ITEMS, SHL",Non-Food Misc.
922,175895,8672,T-126,The Springs of Toccoa,478523,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10301,13,0,0,0.0,312,STEPHENS,0.0,2/23/2024 13:08,2/26/2024 9:09,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Rabun Warehouse,02,30577.0,Toccoa,USDA YELLOW SPLIT PEAS,Proteins
722,176485,8970,M-136,Miracles Happen Recovery Residence INC,FAIMPORT479109,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCW-16-10001,17,0,0,0.0,17,STEPHENS,0.0,2/29/2024 0:00,2/29/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
1028,178024,875,V-107,Voice of Hope SDA Church,480643,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-04-10000,103,0,0,0.0,103,STEPHENS,0.0,4/1/2024 10:55,4/1/2024 11:06,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30577.0,Toccoa,"BREAD & BAKERY, ASSORTED SHL",Grains
399,173614,7082,S-125,The Salvation Army - Toccoa Co,477243,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,USDA,C-50-10033,10,0,0,0.0,120,STEPHENS,0.0,1/30/2024 11:08,1/30/2024 7:04,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30577.0,Toccoa,USDA SHREDDED YELLOW CHEDDAR CHEESE CCC,Dairy
434,178138,688,P-114,Paradise Mountain Ministries,480757,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-01-10000,56,0,0,10.08,56,STEPHENS,0.18,4/2/2024 13:42,4/2/2024 15:26,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,"ASSORTED NON-FOOD ITEMS, SHL",Non-Food Misc.
399,182177,8690,S-125,The Salvation Army - Toccoa Co,484781,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,USDA,N-50-10302,8,0,0,20.16,112,STEPHENS,0.18,6/24/2024 8:00,6/24/2024 7:15,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30577.0,Toccoa,USDA GREEN BEANS CCC,Vegetables
704,181052,9036,Z-100,Zebulon Baptist Church,483657,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10273,15,0,0,0.0,210,STEPHENS,0.0,5/23/2024 13:30,5/23/2024 13:05,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,GNAP PASTA O'S IN TOMATO SAUCE,Prepared Meals
1042,178854,5388,H-160,HighPoint Community Worship Center,481468,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,44,0,0,7.92,44,STEPHENS,0.18,4/12/2024 9:27,4/12/2024 9:50,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED FROZEN FOODS, SHL",Food Misc.
631,179607,690,N-119,New Hope Baptist Church Toccoa,482220,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,22,0,0,0.66,22,STEPHENS,0.03,4/25/2024 15:12,4/25/2024 10:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED BEVERAGES, SHL",Beverages
704,175467,1045,Z-100,Zebulon Baptist Church,478096,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-25-10009,36,0,0,6.48,36,STEPHENS,0.18,2/12/2024 8:46,2/12/2024 9:34,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED SNACK ITEMS, SHL",Food Misc.
