Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
411,173514,1045,M-103,Mt. Zion Ministries - The Refuge,477143,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-25-10009,23,0,0,4.14,23,TOWNS,0.18,1/24/2024 14:31,1/24/2024 8:30,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED SNACK ITEMS, SHL",Dry Food Misc.
526,173706,8914,T-118,Towns County Food Pantry,477335,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10310,20,0,0,97.2,540,TOWNS,0.18,1/30/2024 15:21,1/30/2024 13:27,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA DICED POTATOES,Dry Potatoes
526,181091,3203,T-118,Towns County Food Pantry,483696,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10289,10,0,0,45.0,250,TOWNS,0.18,5/23/2024 8:00,5/23/2024 7:17,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA PECAN PIECES,Dry Proteins
411,175603,690,M-103,Mt. Zion Ministries - The Refuge,478231,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,133,0,0,3.99,133,TOWNS,0.03,2/14/2024 14:31,2/14/2024 8:27,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED BEVERAGES, SHL",Dry Beverages
411,181175,5388,M-103,Mt. Zion Ministries - The Refuge,483780,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,F-16-10001,122,0,0,21.96,122,TOWNS,0.18,5/22/2024 14:31,5/22/2024 8:24,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED FROZEN FOODS, SHL",Frozen Food Misc.
411,177178,690,M-103,Mt. Zion Ministries - The Refuge,479799,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,65,0,0,1.95,65,TOWNS,0.03,3/13/2024 14:31,3/13/2024 8:33,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED BEVERAGES, SHL",Dry Beverages
526,178642,9013,T-118,Towns County Food Pantry,481258,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10313,15,0,0,64.8,360,TOWNS,0.18,4/15/2024 15:21,4/15/2024 15:11,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA LIGHT RED KIDNEY BEANS 24/1LB,Dry Proteins
526,181091,8714,T-118,Towns County Food Pantry,483696,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10303,10,0,0,0.0,240,TOWNS,0.0,5/23/2024 8:00,5/23/2024 7:17,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA GREEN SPLIT PEAS,Dry Proteins
526,177621,170,T-118,Towns County Food Pantry,480241,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,20,0,0,100.8,560,TOWNS,0.18,3/26/2024 15:21,3/26/2024 7:25,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,"USDA CORN, WHOLE KERNEL NO SALT",Dry Vegetables
526,173364,8714,T-118,Towns County Food Pantry,476993,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10303,10,0,0,43.2,240,TOWNS,0.18,1/24/2024 15:21,1/24/2024 7:09,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA GREEN SPLIT PEAS,Dry Proteins
