Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
555,182061,3712,H-151,Helen First Baptist Church,484665,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10266,13,0,0,0.0,351,WHITE,0.0,6/14/2024 9:00,6/20/2024 16:12,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30545.0,Helen,USDA CANNED PINTO BEANS,Dry Dry Dry Dry Proteins
440,178721,8974,W-115,White County Food Pantry,FAIMPORT481335,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-04-10000,32,0,0,0.0,32,WHITE,0.0,4/8/2024 0:00,4/8/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30528.0,Cleveland,"BREAD AND BAKERY, SHL RETAIL PICKUPS",Dry Dry Dry Dry Grains
587,176312,2960,S-139,Shoal Creek Baptist Church,478937,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10247,3,0,0,19.44,108,WHITE,0.18,3/12/2024 9:57,3/12/2024 11:35,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA BEEF STEW POUCHES CCC,Dry Dry Dry Dry Prepared Meals
440,178350,8783,W-115,White County Food Pantry,480966,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10308,4,0,0,16.56,92,WHITE,0.18,4/9/2024 15:37,4/9/2024 7:44,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA RAISINS,Dry Dry Dry Dry Fruits
440,175848,875,W-115,White County Food Pantry,478476,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,63,0,0,0.0,63,WHITE,0.0,2/20/2024 15:37,2/20/2024 8:13,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30528.0,Cleveland,"BREAD & BAKERY, ASSORTED SHL",Dry Dry Dry Dry Grains
655,177031,170,H-153,His Hands and Feet Ministries,479653,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,13,0,0,0.0,364,WHITE,0.0,3/14/2024 11:38,3/15/2024 9:06,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,"USDA CORN, WHOLE KERNEL NO SALT",Dry Dry Dry Dry Vegetables
655,175268,84,H-153,His Hands and Feet Ministries,477897,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10006,13,0,0,0.0,351,WHITE,0.0,2/7/2024 11:38,2/8/2024 15:45,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Rabun Warehouse,02,30528.0,Cleveland,USDA GREEN BEANS,Dry Dry Dry Dry Vegetables
440,178834,9013,W-115,White County Food Pantry,481448,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10313,12,0,0,51.84,288,WHITE,0.18,4/16/2024 15:37,4/16/2024 8:02,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA LIGHT RED KIDNEY BEANS 24/1LB,Dry Dry Dry Dry Proteins
440,175005,3122,W-115,White County Food Pantry,477635,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10174,10,0,0,14.0,140,WHITE,0.1,2/6/2024 15:37,2/6/2024 8:12,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,"GNAP BLACKEYE PEAS, LOW SODIUM",Dry Dry Dry Dry Proteins
587,180496,9029,S-139,Shoal Creek Baptist Church,483102,,FP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-25-11971,12,0,0,17.28,96,WHITE,0.18,5/14/2024 11:00,5/14/2024 11:03,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,BIGS JUMBO SUNFLOWER KERNELS,Dry Dry Dry Dry Proteins
655,178320,170,H-153,His Hands and Feet Ministries,480936,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,13,0,0,0.0,364,WHITE,0.0,4/11/2024 11:38,4/11/2024 11:05,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,"USDA CORN, WHOLE KERNEL NO SALT",Dry Dry Dry Dry Vegetables
440,173867,8720,W-115,White County Food Pantry,477496,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10305,10,0,0,25.2,140,WHITE,0.18,2/6/2024 15:37,2/6/2024 8:11,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA MIXED VegetablesCCC,Dry Dry Dry Dry Vegetables
555,180698,4327,H-151,Helen First Baptist Church,483304,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10277,13,0,0,0.0,351,WHITE,0.0,5/17/2024 9:00,5/17/2024 7:20,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30545.0,Helen,USDA GARBANZO BEANS,Dry Dry Dry Dry Proteins
440,180029,7169,W-115,White County Food Pantry,482637,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10236,40,0,0,0.0,560,WHITE,0.0,5/7/2024 8:00,5/7/2024 7:41,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,GNAP BEEF LASAGNA,Dry Dry Dry Dry Prepared Meals
655,180320,1047,H-153,His Hands and Feet Ministries,482926,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10041,13,0,0,0.0,637,WHITE,0.0,5/9/2024 11:38,5/9/2024 14:11,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA RICE,Dry Dry Dry Dry Grains
440,177679,1674,W-115,White County Food Pantry,480299,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10073,10,0,0,48.6,270,WHITE,0.18,3/26/2024 15:37,3/26/2024 8:10,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA TOMATO SAUCE,Dry Dry Dry Dry Vegetables
655,172733,1791,H-153,His Hands and Feet Ministries,476364,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10079,13,0,0,0.0,338,WHITE,0.0,1/11/2024 11:38,1/16/2024 9:29,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30528.0,Cleveland,USDA WALNUT HALVES AND PIECES,Dry Dry Dry Dry Proteins
