Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
321,177391,8970,R-111,Royston Housing Authority,FAIMPORT480011,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCW-16-10001,59,0,0,0.0,59,FRANKLIN,0.0,3/12/2024 0:00,3/12/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
157,176949,696,N-103,New Beginnings Ministry,479571,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,114,0,0,20.52,114,FRANKLIN,0.18,3/8/2024 13:34,3/8/2024 11:28,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED SNACK ITEMS, LL",Food Misc.
916,179600,875,W-125,World Outreach Ministries (d/b/a Ignited Church),482213,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,10,0,0,0.0,10,FRANKLIN,0.0,4/25/2024 9:35,4/25/2024 9:23,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"BREAD & BAKERY, ASSORTED SHL",Grains
476,180442,3717,S-129,"Step of Faith Outreach, INC",483048,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10154,5,0,0,0.0,100,FRANKLIN,0.0,5/13/2024 16:09,5/14/2024 9:19,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,"GNAP APPLE JUICE, SINGLE SERVE",Beverages
973,177949,8940,G-134,The Grace Foundation: Family Transformation ,480568,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-90531,2,0,0,0.0,104,FRANKLIN,0.0,4/3/2024 11:33,4/3/2024 12:08,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,"CABBAGE, SHL 50#",Vegetables 
973,179425,1045,G-134,The Grace Foundation: Family Transformation ,482038,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-25-10009,183,0,0,32.94,183,FRANKLIN,0.18,4/23/2024 9:54,4/23/2024 9:58,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED SNACK ITEMS, SHL",Food Misc.
321,177585,8973,R-111,Royston Housing Authority,FAIMPORT480205,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-16-10001,12,0,0,0.0,12,FRANKLIN,0.0,3/18/2024 0:00,3/18/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"COOLER FOOD MISC., SHL RETAIL PICKUP",Food Misc.
179,182301,9085,R-100,Rainbow Pantry,484905,,FP/USDA,FOOD PANTRY-Agency,USDA,F-50-90476,10,0,0,72.0,400,FRANKLIN,0.18,6/26/2024 11:30,6/27/2024 13:17,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA PORK LOIN BONELESS CHOPS CCC,Proteins
973,175072,8937,G-134,The Grace Foundation: Family Transformation ,477702,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11807,2,0,0,0.0,36,FRANKLIN,0.0,2/9/2024 8:00,2/9/2024 11:59,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GATORADE LEMON LIME ZERO SUGAR,Beverages
321,172763,8909,R-111,Royston Housing Authority,476394,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,N-03-11795,6,0,0,18.36,102,FRANKLIN,0.18,1/11/2024 14:45,1/11/2024 12:16,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,STARBUCKS VANILLA FRAPPUCCINO,Beverages
179,180878,8833,R-100,Rainbow Pantry,483484,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11769,13,0,0,0.0,364,FRANKLIN,0.0,5/23/2024 11:00,5/28/2024 7:42,Price Code 1,TRUCK 1,False,Food Bank of Northeast Georgia,01,30662.0,Royston,PEPSI COLA,Beverages
941,176929,842,L-117,Lavonia Church of God,479551,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10021,13,0,0,0.0,351,FRANKLIN,0.0,3/14/2024 7:00,3/14/2024 7:18,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,USDA DICED TOMATOES NO SALT CCC,Vegetables 
973,173104,690,G-134,The Grace Foundation: Family Transformation ,476734,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,536,0,0,0.0,536,FRANKLIN,0.0,1/16/2024 9:57,1/16/2024 10:08,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED BEVERAGES, SHL",Beverages
157,181573,9044,N-103,New Beginnings Ministry,484177,,ON PREMISES (OP),REHAB-Agency,GNAP,N-40-10278,5,0,0,0.0,40,FRANKLIN,0.0,6/3/2024 0:00,6/3/2024 11:27,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30557.0,Martin,"GNAP PASTA SIDE, ALFREDO ",Prepared Meals
179,175758,8665,R-100,Rainbow Pantry,478386,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11268,10,0,0,6.9,230,FRANKLIN,0.03,2/22/2024 13:46,2/22/2024 9:28,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,PROPEL BERRY/KIWISTRAW/GRAPE,Beverages
476,180991,3717,S-129,"Step of Faith Outreach, INC",483596,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10154,40,0,0,0.0,800,FRANKLIN,0.0,5/22/2024 9:30,5/22/2024 12:46,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,"GNAP APPLE JUICE, SINGLE SERVE",Beverages
321,182223,8975,R-111,Royston Housing Authority,FAIMPORT484827,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-07-10001,160,0,0,0.0,160,FRANKLIN,0.0,6/13/2024 0:00,6/13/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",Dairy
157,179262,683,N-103,New Beginnings Ministry,481875,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,22,0,0,3.96,22,FRANKLIN,0.18,4/19/2024 13:34,4/19/2024 11:11,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,MISC. FOOD BOX SHL,Food Misc.
157,178315,8949,N-103,New Beginnings Ministry,480931,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,C-28-90536,6,0,0,0.0,300,FRANKLIN,0.0,4/12/2024 0:00,4/12/2024 11:01,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30557.0,Martin,"CARROTS, 50#",Vegetables 
476,175439,8665,S-129,"Step of Faith Outreach, INC",478068,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11268,2,0,0,1.38,46,FRANKLIN,0.03,2/14/2024 16:09,2/14/2024 8:56,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,PROPEL BERRY/KIWISTRAW/GRAPE,Beverages
179,177165,4715,R-100,Rainbow Pantry,479786,,FP/USDA,FOOD PANTRY-Agency,USDA,F-50-90461,20,0,0,80.0,800,FRANKLIN,0.1,3/21/2024 10:30,3/27/2024 10:09,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA ALASKAN POLLACK FISH FILLETS,Proteins
321,182494,8970,R-111,Royston Housing Authority,FAIMPORT485098,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCW-16-10001,29,0,0,0.0,29,FRANKLIN,0.0,6/18/2024 0:00,6/18/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
321,173207,8915,R-111,Royston Housing Authority,476837,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,USDA,F-50-90474,1,0,0,7.2,40,FRANKLIN,0.18,1/25/2024 14:45,1/25/2024 12:46,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA PACIFIC SALAD SHRIMP,Proteins
157,178384,8974,N-103,New Beginnings Ministry,481000,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCW-04-10000,40,0,0,0.0,40,FRANKLIN,0.0,4/5/2024 13:34,4/5/2024 10:23,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,"BREAD AND BAKERY, SHL RETAIL PICKUPS",Grains
157,179735,8658,N-103,New Beginnings Ministry,482348,,ON PREMISES (OP),REHAB-Agency,YELLOW RECEIPT - SHN,N-25-11893,2,0,0,6.48,36,FRANKLIN,0.18,5/3/2024 0:00,5/3/2024 12:29,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,KELLOGG WHEAT CRACKER ON TRAYS,Grains
321,180470,8976,R-111,Royston Housing Authority,FAIMPORT483076,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-28-10001,28,0,0,0.0,28,FRANKLIN,0.0,5/3/2024 0:00,5/3/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"PRODUCE, SHL RETAIL PICKUPS",Mixed Produce
321,180447,9052,R-111,Royston Housing Authority,483053,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,GNAP,N-40-10283,10,0,0,0.0,200,FRANKLIN,0.0,5/15/2024 8:45,5/15/2024 10:03,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"GNAP 100% ORANGE TANGERINE JUICE, SINGLE SERVE",Beverages
973,177949,4195,G-134,The Grace Foundation: Family Transformation ,480568,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11030,11,0,0,0.0,220,FRANKLIN,0.0,4/3/2024 11:33,4/3/2024 12:08,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,DIET COKE,Beverages
157,180718,9056,N-103,New Beginnings Ministry,483324,,ON PREMISES (OP),REHAB-Agency,GNAP,N-40-10286,10,0,0,0.0,220,FRANKLIN,0.0,5/17/2024 0:00,5/17/2024 10:44,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP DICED PEAR CUPS,Fruits
157,181573,7202,N-103,New Beginnings Ministry,484177,,ON PREMISES (OP),REHAB-Agency,GNAP,N-40-10242,2,0,0,0.0,32,FRANKLIN,0.0,6/3/2024 0:00,6/3/2024 11:27,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP STRAWBERRY JELLY,Food Misc.
941,180242,1674,L-117,Lavonia Church of God,482848,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10073,13,0,0,0.0,351,FRANKLIN,0.0,5/9/2024 7:00,5/9/2024 8:53,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,USDA TOMATO SAUCE,Vegetables 
941,181780,842,L-117,Lavonia Church of God,484384,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10021,13,0,0,0.0,351,FRANKLIN,0.0,6/13/2024 7:00,6/13/2024 16:49,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,USDA DICED TOMATOES NO SALT CCC,Vegetables 
916,172635,696,W-125,World Outreach Ministries (d/b/a Ignited Church),476266,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,31,0,0,5.58,31,FRANKLIN,0.18,1/5/2024 9:35,1/5/2024 14:57,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"ASSORTED SNACK ITEMS, LL",Food Misc.
321,178705,8971,R-111,Royston Housing Authority,FAIMPORT481319,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCF-16-10001,6,0,0,0.0,6,FRANKLIN,0.0,4/4/2024 0:00,4/4/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"FROZEN FOODS, MISC SHL RETAIL PICKUP",Food Misc.
973,178534,8741,G-134,The Grace Foundation: Family Transformation ,481150,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11741,25,0,0,0.0,250,FRANKLIN,0.0,4/12/2024 11:10,4/25/2024 7:41,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,DIET MT DEW,Beverages
476,175439,8719,S-129,"Step of Faith Outreach, INC",478068,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10265,3,0,0,3.9,39,FRANKLIN,0.1,2/14/2024 16:09,2/14/2024 8:56,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,GNAP MINI BEEF RAVIOLI,Prepared Meals
916,172949,5407,W-125,World Outreach Ministries (d/b/a Ignited Church),476580,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,15,0,0,2.7,15,FRANKLIN,0.18,1/11/2024 9:35,1/11/2024 14:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"MEAT & SEAFOOD, FROZEN SHL",Proteins
973,181155,235,G-134,The Grace Foundation: Family Transformation ,483760,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-03-10012,75,0,0,0.0,75,FRANKLIN,0.0,5/21/2024 15:19,5/21/2024 15:26,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED BEVERAGES, LL",Beverages
179,181476,9081,R-100,Rainbow Pantry,484080,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11843,10,0,0,0.0,180,FRANKLIN,0.0,6/6/2024 10:00,6/6/2024 13:08,Price Code 1,TRUCK 1,False,Food Bank of Northeast Georgia,01,30662.0,Royston,DR PEPPER ZERO SUGAR,Beverages
179,176131,8856,R-100,Rainbow Pantry,478758,,FP/USDA,FOOD PANTRY-Agency,LOCAL - LL,N-25-11936,2,0,0,1.44,8,FRANKLIN,0.18,3/7/2024 10:30,3/8/2024 7:51,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"CHUM FRUIT BITES, STRAWBERRY/MANGO",Fruits
157,179262,683,N-103,New Beginnings Ministry,481875,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,81,0,0,0.0,81,FRANKLIN,0.0,4/19/2024 13:34,4/19/2024 11:11,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,MISC. FOOD BOX SHL,Food Misc.
973,178534,9009,G-134,The Grace Foundation: Family Transformation ,481150,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11828,23,0,0,0.0,322,FRANKLIN,0.0,4/12/2024 11:10,4/25/2024 7:41,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,PURE LEAF LEMON TEA,Beverages
