Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
451,179561,875,L-105,Lexington Baptist Church,482174,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,76,0,0,0.0,76,OGLETHORPE,0.0,4/24/2024 14:30,4/24/2024 11:47,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30648.0,Lexington,"BREAD & BAKERY, ASSORTED SHL",Grains
451,181753,8846,L-105,Lexington Baptist Church,484357,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11774,3,0,0,0.0,69,OGLETHORPE,0.0,6/7/2024 12:00,6/18/2024 14:23,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30648.0,Lexington,PURE LEAF UNSWEETENED TEA,Beverages
433,175502,1791,T-114,Thankful Baptist Church,478131,,FP/OP/GNAP/USDA,YOUTH-Agency,USDA,N-50-10079,13,0,0,0.0,338,OGLETHORPE,0.0,2/17/2024 7:00,2/17/2024 9:51,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30667.0,Stephens,USDA WALNUT HALVES AND PIECES,Proteins
713,176961,6420,B-136,Burt's United Methodist Church,479583,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-90141,2,0,0,0.0,100,OGLETHORPE,0.0,3/19/2024 13:44,3/19/2024 12:19,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30627.0,Lexington,ONIONS,Vegetables 
162,176625,8981,O-101,Oglethorpe County Senior Center,479248,,FP/OP/USDA,SENIOR-Agency,BLUE RECEIPT-SHL,F-15-90554,4,0,0,9.36,52,OGLETHORPE,0.18,3/7/2024 13:38,3/8/2024 12:51,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30630.0,Crawford,JENNIE-O TURKEY FRANKS,Proteins
451,178365,2202,L-105,Lexington Baptist Church,480981,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,15,0,0,0.0,330,OGLETHORPE,0.0,4/8/2024 14:30,4/11/2024 13:06,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30648.0,Lexington,USDA SPAGHETTI,Grains
817,178738,170,F2KOGL,Food 2 Kids Oglethorpe County,481352,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,USDA,N-50-10007,4,0,0,0.0,112,OGLETHORPE,0.0,4/18/2024 15:30,4/24/2024 11:26,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30607.0,Athens,"USDA CORN, WHOLE KERNEL NO SALT",Vegetables 
433,182572,8973,T-114,Thankful Baptist Church,FAIMPORT485175,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,MCC-16-10001,231,0,0,0.0,231,OGLETHORPE,0.0,6/21/2024 0:00,6/21/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30667.0,Stephens,"COOLER FOOD MISC., SHL RETAIL PICKUP",Food Misc.
433,179434,875,T-114,Thankful Baptist Church,482047,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,W-04-10000,1,0,0,0.0,1,OGLETHORPE,0.0,4/23/2024 15:14,4/23/2024 10:37,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30667.0,Stephens,"BREAD & BAKERY, ASSORTED SHL",Grains
940,176504,5407,O-114,Oconee Baptist Church ,479128,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,32,0,0,5.76,32,OGLETHORPE,0.18,3/1/2024 10:00,3/1/2024 10:12,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30667.0,Stephens,"MEAT & SEAFOOD, FROZEN SHL",Proteins
433,173781,2573,T-114,Thankful Baptist Church,477410,,FP/OP/GNAP/USDA,YOUTH-Agency,GNAP,N-40-10204,1,0,0,1.9,19,OGLETHORPE,0.1,2/6/2024 15:14,2/6/2024 11:20,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30667.0,Stephens,GNAP CHICKEN & RICE SOUP,Prepared Meals
433,181880,688,T-114,Thankful Baptist Church,484484,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,W-01-10000,105,0,0,18.9,105,OGLETHORPE,0.18,6/4/2024 15:14,6/4/2024 10:58,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30667.0,Stephens,"ASSORTED NON-FOOD ITEMS, SHL",Non-Food Misc.
162,176818,8970,O-101,Oglethorpe County Senior Center,FAIMPORT479440,,FP/OP/USDA,SENIOR-Agency,BLUE RECEIPT-SHL,MCW-16-10001,7,0,0,0.0,7,OGLETHORPE,0.0,2/29/2024 0:00,2/29/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30630.0,Crawford,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
162,173307,8923,O-101,Oglethorpe County Senior Center,476936,,FP/OP/USDA,SENIOR-Agency,LOCAL - LL,N-25-11955,7,0,0,18.9,105,OGLETHORPE,0.18,1/24/2024 13:38,1/25/2024 14:31,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30630.0,Crawford,REESES/KIT KAT/PAYDAY CANDY BAR ASST,Food Misc.
433,177882,5681,T-114,Thankful Baptist Church,480501,,FP/OP/GNAP/USDA,YOUTH-Agency,LOCAL - LL,C-16-10000,24,0,0,4.32,24,OGLETHORPE,0.18,3/26/2024 15:14,3/26/2024 11:03,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30667.0,Stephens,"COOLER FOOD, MISC. LL",Food Misc.
