Month,County,Agency Name,Food Type,Storage Method,Fiscal Year,Food Category,Weight
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Beverages,Dry,FY2023,Dry Beverages,456.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Dairy,Dry,FY2023,Dry Dairy,40.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Fruits,Dry,FY2023,Dry Fruits,326.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Grains,Dry,FY2023,Dry Grains,208.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Non-Food Misc.,Dry,FY2023,Dry Non-Food Misc.,18.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Prepared Meals,Dry,FY2023,Dry Prepared Meals,170.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Proteins,Dry,FY2023,Dry Proteins,854.0
2022-07,BANKS,Banks: Homer UMC Senior Staples Program,Vegetables,Dry,FY2023,Dry Vegetables,270.0
2022-07,BANKS,Damascus Baptist Church,Beverages,Dry,FY2023,Dry Beverages,76.0
2022-07,BANKS,Damascus Baptist Church,Dairy,Cooled,FY2023,Cooled Dairy,104.0
2022-07,BANKS,Damascus Baptist Church,Food Misc.,Dry,FY2023,Dry Food Misc.,23.0
2022-07,BANKS,Damascus Baptist Church,Fruits,Cooled,FY2023,Cooled Fruits,95.0
2022-07,BANKS,Damascus Baptist Church,Fruits,Dry,FY2023,Dry Fruits,50.0
2022-07,BANKS,Damascus Baptist Church,Potatoes,Dry,FY2023,Dry Potatoes,27.0
2022-07,BANKS,Damascus Baptist Church,Prepared Meals,Dry,FY2023,Dry Prepared Meals,42.0
2022-07,BANKS,Damascus Baptist Church,Proteins,Dry,FY2023,Dry Proteins,111.0
2022-07,BANKS,Damascus Baptist Church,Proteins,Frozen,FY2023,Frozen Proteins,72.0
2022-07,BANKS,Damascus Baptist Church,Vegetables,Dry,FY2023,Dry Vegetables,107.0
2022-07,BANKS,"Get Real Ministries, Inc.",Beverages,Dry,FY2023,Dry Beverages,2000.0
2022-07,BANKS,"Get Real Ministries, Inc.",Dairy,Cooled,FY2023,Cooled Dairy,195.0
2022-07,BANKS,"Get Real Ministries, Inc.",Dairy,Dry,FY2023,Dry Dairy,260.0
2022-07,BANKS,"Get Real Ministries, Inc.",Food Misc.,Dry,FY2023,Dry Food Misc.,1000.0
