Month,County,Food Category,Weight
2022-07,BANKS,Cooled Dairy,299.0
2022-08,BANKS,Cooled Dairy,169.0
2023-05,BANKS,Cooled Dairy,18.0
2023-03,BANKS,Cooled Food Misc.,102.0
2022-07,BANKS,Cooled Fruits,95.0
2022-09,BANKS,Cooled Fruits,2640.0
2023-01,BANKS,Cooled Fruits,684.0
2023-03,BANKS,Cooled Fruits,2272.0
2023-04,BANKS,Cooled Fruits,2064.0
2023-05,BANKS,Cooled Fruits,2052.0
2023-06,BANKS,Cooled Fruits,144.0
2023-06,BANKS,Cooled Grains,80.0
2022-07,BANKS,Cooled Mixed Produce,2351.0
2022-08,BANKS,Cooled Mixed Produce,3749.0
2022-09,BANKS,Cooled Mixed Produce,3071.0
2022-10,BANKS,Cooled Mixed Produce,2411.0
2022-11,BANKS,Cooled Mixed Produce,2215.0
2022-12,BANKS,Cooled Mixed Produce,2204.0
2023-01,BANKS,Cooled Mixed Produce,246.0
2023-02,BANKS,Cooled Mixed Produce,2591.0
2023-03,BANKS,Cooled Mixed Produce,594.0
2023-04,BANKS,Cooled Mixed Produce,273.0
2023-05,BANKS,Cooled Mixed Produce,533.0
2023-06,BANKS,Cooled Mixed Produce,459.0
2022-09,BANKS,Cooled Potatoes,148.0
2022-10,BANKS,Cooled Potatoes,185.0
2023-01,BANKS,Cooled Potatoes,148.0
2023-03,BANKS,Cooled Potatoes,292.0
2023-04,BANKS,Cooled Potatoes,144.0
2023-05,BANKS,Cooled Potatoes,1554.0
2023-06,BANKS,Cooled Potatoes,1554.0
2022-11,BANKS,Cooled Vegetables,60.0
2022-07,BANKS,Dry Beverages,2581.0
2022-08,BANKS,Dry Beverages,1973.0
2022-09,BANKS,Dry Beverages,380.0
2022-10,BANKS,Dry Beverages,1825.0
2022-11,BANKS,Dry Beverages,950.0
2022-12,BANKS,Dry Beverages,2392.0
2023-01,BANKS,Dry Beverages,1996.0
2023-02,BANKS,Dry Beverages,645.0
2023-03,BANKS,Dry Beverages,311.0
2023-04,BANKS,Dry Beverages,592.0
2023-05,BANKS,Dry Beverages,2028.0
2023-06,BANKS,Dry Beverages,736.0
2022-07,BANKS,Dry Dairy,300.0
2022-08,BANKS,Dry Dairy,260.0
2022-07,BANKS,Dry Food Misc.,3051.0
2022-08,BANKS,Dry Food Misc.,2898.0
2022-09,BANKS,Dry Food Misc.,2167.0
