County,Month,Weight,TopCategory1Name,TopCategory1Weight,TopCategory2Name,TopCategory2Weight,Num. of Unique Categories,Source
BANKS,2022-07,15751.0,Dry Food Misc.,3051.0,Dry Beverages,2581.0,14,Sorted_FY2023 Split by County
BANKS,2022-08,23523.0,Dry Other,4800.0,Cooled Mixed Produce,3749.0,14,Sorted_FY2023 Split by County
BANKS,2022-09,14695.0,Cooled Mixed Produce,3071.0,Cooled Fruits,2640.0,13,Sorted_FY2023 Split by County
BANKS,2022-10,18593.0,Dry Food Misc.,2443.0,Cooled Mixed Produce,2411.0,13,Sorted_FY2023 Split by County
BANKS,2022-11,20964.0,Dry Food Misc.,3548.0,Dry Vegetables,2781.0,13,Sorted_FY2023 Split by County
BANKS,2022-12,14715.0,Dry Other,3000.0,Dry Food Misc.,2559.0,11,Sorted_FY2023 Split by County
BANKS,2023-01,16169.0,Dry Vegetables,2742.0,Dry Food Misc.,2513.0,13,Sorted_FY2023 Split by County
BANKS,2023-02,17300.0,Cooled Mixed Produce,2591.0,Dry Food Misc.,2543.0,12,Sorted_FY2023 Split by County
BANKS,2023-03,11755.0,Dry Other,2400.0,Cooled Fruits,2272.0,14,Sorted_FY2023 Split by County
BANKS,2023-04,15842.0,Dry Other,3600.0,Dry Food Misc.,2091.0,14,Sorted_FY2023 Split by County
BANKS,2023-05,16214.0,Dry Grains,2224.0,Dry Food Misc.,2170.0,14,Sorted_FY2023 Split by County
BANKS,2023-06,12782.0,Frozen Food Misc.,2740.0,Dry Other,2400.0,15,Sorted_FY2023 Split by County
BANKS,2023-07,18645.0,Cooled Mixed Produce,5759.0,Dry Grains,3637.0,12,Sorted_FY2024 Split by County
BANKS,2023-08,16057.0,Dry Vegetables,2838.0,Frozen Fruits,2394.0,14,Sorted_FY2024 Split by County
BANKS,2023-09,37905.0,Dry Food Misc.,9693.0,Dry Grains,4525.0,17,Sorted_FY2024 Split by County
BANKS,2023-10,29391.0,Frozen Proteins,4147.0,Dry Beverages,3763.0,16,Sorted_FY2024 Split by County
BANKS,2023-11,30103.0,Cooled Mixed Produce,9075.0,Dry Beverages,7874.0,14,Sorted_FY2024 Split by County
BANKS,2023-12,37063.0,Dry Proteins,5751.0,Frozen Proteins,5484.0,15,Sorted_FY2024 Split by County
BANKS,2024-01,32735.0,Frozen Proteins,6665.0,Cooled Mixed Produce,4934.0,17,Sorted_FY2024 Split by County
BANKS,2024-02,36713.0,Frozen Proteins,4716.0,Cooled Mixed Produce,4051.0,20,Sorted_FY2024 Split by County
BANKS,2024-03,36113.0,Cooled Dairy,4688.0,Frozen Proteins,3953.0,21,Sorted_FY2024 Split by County
BANKS,2024-04,33352.0,Frozen Proteins,7512.0,Cooled Fruits,5441.0,19,Sorted_FY2024 Split by County
BANKS,2024-05,27341.0,Dry Food Misc.,3915.0,Dry Vegetables,3607.0,17,Sorted_FY2024 Split by County
BANKS,2024-06,30560.5,Cooled Vegetables,10290.0,Dry Proteins,3428.5,19,Sorted_FY2024 Split by County
BANKS,2024-07,52960.0,Dry Prepared Meals,9236.0,Cooled Fruits,6856.0,21,Sorted_FY2025 Split by County
BANKS,2024-08,51616.0,Dry Prepared Meals,17402.0,Dry Dairy,7728.0,16,Sorted_FY2025 Split by County
BANKS,2024-09,27251.0,Cooled Fruits,3905.0,Dry Vegetables,3567.0,20,Sorted_FY2025 Split by County
BANKS,2024-10,28237.0,Dry Proteins,3770.0,Dry Vegetables,3505.0,22,Sorted_FY2025 Split by County
BANKS,2024-11,40220.0,Dry Vegetables,4940.0,Dry Fruits,4796.0,20,Sorted_FY2025 Split by County
BANKS,2024-12,41214.0,Dry Beverages,6710.0,Frozen Proteins,4013.0,23,Sorted_FY2025 Split by County
BANKS,2025-01,15424.0,Dry Food Misc.,3490.0,Dry Beverages,3403.0,17,Sorted_FY2025 Split by County
BANKS,2025-02,19740.0,Cooled Fruits,3075.0,Cooled Potatoes,2754.0,18,Sorted_FY2025 Split by County
BANKS,2025-03,34149.0,Dry Food Misc.,5285.0,Cooled Potatoes,4800.0,19,Sorted_FY2025 Split by County
BANKS,2025-04,25943.0,Dry Food Misc.,5203.0,Dry Beverages,3361.0,18,Sorted_FY2025 Split by County
BANKS,2025-05,35892.0,Dry Food Misc.,10075.0,Dry Beverages,5860.0,18,Sorted_FY2025 Split by County
BANKS,2025-06,49232.0,Cooled Vegetables,11641.0,Cooled Fruits,7476.0,19,Sorted_FY2025 Split by County
BARROW,2022-07,58984.0,Cooled Fruits,14240.0,Dry Vegetables,8646.0,15,Sorted_FY2023 Split by County
BARROW,2022-08,71003.0,Dry Vegetables,12459.0,Cooled Mixed Produce,10164.0,17,Sorted_FY2023 Split by County
BARROW,2022-09,49756.0,Cooled Fruits,11112.0,Cooled Potatoes,5883.0,15,Sorted_FY2023 Split by County
BARROW,2022-10,77237.0,Dry Proteins,11049.0,Dry Vegetables,10766.0,15,Sorted_FY2023 Split by County
BARROW,2022-11,68213.0,Cooled Mixed Produce,14241.0,Cooled Dairy,7277.0,16,Sorted_FY2023 Split by County
BARROW,2022-12,62271.0,Cooled Mixed Produce,16927.0,Cooled Dairy,9576.0,16,Sorted_FY2023 Split by County
BARROW,2023-01,48754.0,Cooled Mixed Produce,14262.0,Dry Vegetables,5891.0,16,Sorted_FY2023 Split by County
BARROW,2023-02,49068.0,Cooled Mixed Produce,22039.0,Dry Vegetables,5863.0,13,Sorted_FY2023 Split by County
BARROW,2023-03,53505.0,Cooled Mixed Produce,8536.0,Frozen Proteins,6825.0,16,Sorted_FY2023 Split by County
BARROW,2023-04,67405.0,Dry Proteins,13349.0,Cooled Fruits,11524.0,19,Sorted_FY2023 Split by County
BARROW,2023-05,39928.0,Cooled Mixed Produce,9852.0,Cooled Fruits,5944.0,19,Sorted_FY2023 Split by County
BARROW,2023-06,69198.0,Dry Vegetables,12169.0,Dry Beverages,12056.0,16,Sorted_FY2023 Split by County
BARROW,2023-07,52497.0,Dry Beverages,13296.0,Dry Food Misc.,7281.0,15,Sorted_FY2024 Split by County
BARROW,2023-08,76452.0,Cooled Mixed Produce,16575.0,Cooled Fruits,8980.0,16,Sorted_FY2024 Split by County
BARROW,2023-09,61184.0,Dry Food Misc.,10254.0,Cooled Mixed Produce,9833.0,15,Sorted_FY2024 Split by County
BARROW,2023-10,68651.0,Cooled Mixed Produce,21263.0,Dry Grains,8011.0,18,Sorted_FY2024 Split by County
BARROW,2023-11,109332.0,Cooled Mixed Produce,31398.0,Dry Vegetables,18099.0,15,Sorted_FY2024 Split by County
BARROW,2023-12,106027.0,Cooled Mixed Produce,30667.0,Dry Beverages,17860.0,16,Sorted_FY2024 Split by County
BARROW,2024-01,94041.0,Cooled Mixed Produce,29300.0,Dry Beverages,16183.0,19,Sorted_FY2024 Split by County
BARROW,2024-02,97985.0,Dry Beverages,15621.0,Cooled Mixed Produce,11450.0,21,Sorted_FY2024 Split by County
BARROW,2024-03,106478.0,Cooled Fruits,12739.0,Frozen Proteins,12271.0,23,Sorted_FY2024 Split by County
BARROW,2024-04,112035.0,Dry Proteins,15232.0,Frozen Proteins,13731.0,20,Sorted_FY2024 Split by County
BARROW,2024-05,102209.0,Frozen Proteins,15489.0,Dry Proteins,11879.0,20,Sorted_FY2024 Split by County
BARROW,2024-06,101910.9,Dry Proteins,21635.9,Dry Vegetables,13415.0,20,Sorted_FY2024 Split by County
BARROW,2024-07,123268.35,Cooled Fruits,22832.0,Frozen Proteins,13529.0,22,Sorted_FY2025 Split by County
BARROW,2024-08,132701.0,Cooled Fruits,15107.0,Dry Prepared Meals,14606.0,24,Sorted_FY2025 Split by County
BARROW,2024-09,97143.0,Dry Proteins,12946.0,Dry Vegetables,11141.0,25,Sorted_FY2025 Split by County
