County,Month,Weight,Quantity,Source
BANKS,2022-07,15751.0,8710,FY 2023 Split by County
BANKS,2022-08,23523.0,14105,FY 2023 Split by County
BANKS,2022-09,14695.0,6817,FY 2023 Split by County
BANKS,2022-10,18593.0,11706,FY 2023 Split by County
BANKS,2022-11,20964.0,11328,FY 2023 Split by County
BANKS,2022-12,14715.0,8555,FY 2023 Split by County
BANKS,2023-01,16169.0,7822,FY 2023 Split by County
BANKS,2023-02,17300.0,12425,FY 2023 Split by County
BANKS,2023-03,11755.0,6769,FY 2023 Split by County
BANKS,2023-04,15842.0,8722,FY 2023 Split by County
BANKS,2023-05,16214.0,7718,FY 2023 Split by County
BANKS,2023-06,12782.0,8065,FY 2023 Split by County
BANKS,2023-07,18645.0,8481,FY 2024 Split by County
BANKS,2023-08,16057.0,4294,FY 2024 Split by County
BANKS,2023-09,37905.0,8858,FY 2024 Split by County
BANKS,2023-10,29391.0,11558,FY 2024 Split by County
BANKS,2023-11,30103.0,18509,FY 2024 Split by County
BANKS,2023-12,37063.0,13199,FY 2024 Split by County
BANKS,2024-01,32735.0,14930,FY 2024 Split by County
BANKS,2024-02,36713.0,13139,FY 2024 Split by County
BANKS,2024-03,36113.0,10184,FY 2024 Split by County
BANKS,2024-04,33352.0,8884,FY 2024 Split by County
BANKS,2024-05,27341.0,5553,FY 2024 Split by County
BANKS,2024-06,30560.5,4468,FY 2024 Split by County
BANKS,2024-07,52960.0,11864,FY 2025 Split by County
BANKS,2024-08,51616.0,7947,FY 2025 Split by County
BANKS,2024-09,27251.0,6847,FY 2025 Split by County
BANKS,2024-10,28237.0,7656,FY 2025 Split by County
BANKS,2024-11,40220.0,8701,FY 2025 Split by County
BANKS,2024-12,41214.0,13021,FY 2025 Split by County
BANKS,2025-01,15424.0,5472,FY 2025 Split by County
BANKS,2025-02,19740.0,4959,FY 2025 Split by County
BANKS,2025-03,34149.0,6979,FY 2025 Split by County
BANKS,2025-04,25943.0,8721,FY 2025 Split by County
BANKS,2025-05,35892.0,11694,FY 2025 Split by County
BANKS,2025-06,49232.0,11929,FY 2025 Split by County
BARROW,2022-07,58984.0,14005,FY 2023 Split by County
BARROW,2022-08,71003.0,14109,FY 2023 Split by County
BARROW,2022-09,49756.0,11295,FY 2023 Split by County
BARROW,2022-10,77237.0,20456,FY 2023 Split by County
BARROW,2022-11,68213.0,27427,FY 2023 Split by County
BARROW,2022-12,62271.0,27101,FY 2023 Split by County
BARROW,2023-01,48754.0,26532,FY 2023 Split by County
BARROW,2023-02,49068.0,32391,FY 2023 Split by County
BARROW,2023-03,53505.0,24942,FY 2023 Split by County
BARROW,2023-04,67405.0,18565,FY 2023 Split by County
BARROW,2023-05,39928.0,20113,FY 2023 Split by County
BARROW,2023-06,69198.0,19228,FY 2023 Split by County
BARROW,2023-07,52497.0,21306,FY 2024 Split by County
BARROW,2023-08,76452.0,23525,FY 2024 Split by County
BARROW,2023-09,61184.0,20555,FY 2024 Split by County
BARROW,2023-10,68651.0,33482,FY 2024 Split by County
BARROW,2023-11,109332.0,45173,FY 2024 Split by County
BARROW,2023-12,106027.0,49087,FY 2024 Split by County
BARROW,2024-01,94041.0,46066,FY 2024 Split by County
BARROW,2024-02,97985.0,37257,FY 2024 Split by County
BARROW,2024-03,106478.0,36792,FY 2024 Split by County
BARROW,2024-04,112035.0,36809,FY 2024 Split by County
BARROW,2024-05,102209.0,33147,FY 2024 Split by County
BARROW,2024-06,101910.9,30528,FY 2024 Split by County
BARROW,2024-07,123268.35,49351,FY 2025 Split by County
BARROW,2024-08,132701.0,38945,FY 2025 Split by County
BARROW,2024-09,97143.0,29521,FY 2025 Split by County
BARROW,2024-10,107615.0,27002,FY 2025 Split by County
BARROW,2024-11,98496.0,32991,FY 2025 Split by County
BARROW,2024-12,104601.0,26121,FY 2025 Split by County
BARROW,2025-01,88057.0,21205,FY 2025 Split by County
BARROW,2025-02,89954.0,29931,FY 2025 Split by County
BARROW,2025-03,97124.0,33935,FY 2025 Split by County
BARROW,2025-04,101611.0,33634,FY 2025 Split by County
BARROW,2025-05,104132.0,40696,FY 2025 Split by County
BARROW,2025-06,99214.62,39656,FY 2025 Split by County
CLARKE,2022-07,305601.0,159760,FY 2023 Split by County
CLARKE,2022-08,323374.0,161795,FY 2023 Split by County
CLARKE,2022-09,347383.0,175583,FY 2023 Split by County
CLARKE,2022-10,352286.0,187503,FY 2023 Split by County
CLARKE,2022-11,323170.0,177033,FY 2023 Split by County
CLARKE,2022-12,403223.5,227724,FY 2023 Split by County
CLARKE,2023-01,406845.0,265561,FY 2023 Split by County
CLARKE,2023-02,249128.0,162170,FY 2023 Split by County
CLARKE,2023-03,325352.0,196005,FY 2023 Split by County
CLARKE,2023-04,299343.0,146720,FY 2023 Split by County
CLARKE,2023-05,266075.0,156513,FY 2023 Split by County
CLARKE,2023-06,327485.0,177775,FY 2023 Split by County
CLARKE,2023-07,281253.0,156972,FY 2024 Split by County
CLARKE,2023-08,432993.0,229329,FY 2024 Split by County
CLARKE,2023-09,336270.0,140877,FY 2024 Split by County
CLARKE,2023-10,388762.0,217323,FY 2024 Split by County
CLARKE,2023-11,453036.0,243949,FY 2024 Split by County
CLARKE,2023-12,428715.0,256903,FY 2024 Split by County
CLARKE,2024-01,486327.0,228135,FY 2024 Split by County
CLARKE,2024-02,441337.0,212708,FY 2024 Split by County
CLARKE,2024-03,441877.0,198830,FY 2024 Split by County
CLARKE,2024-04,408270.0,171457,FY 2024 Split by County
CLARKE,2024-05,520525.72,215945,FY 2024 Split by County
CLARKE,2024-06,421620.88,240834,FY 2024 Split by County
CLARKE,2024-07,492709.0,243406,FY 2025 Split by County
CLARKE,2024-08,595952.0,230724,FY 2025 Split by County
CLARKE,2024-09,420653.0,192421,FY 2025 Split by County
CLARKE,2024-10,583351.0,244553,FY 2025 Split by County
CLARKE,2024-11,537781.0,248987,FY 2025 Split by County
CLARKE,2024-12,508953.0,277272,FY 2025 Split by County
CLARKE,2025-01,512755.0,264188,FY 2025 Split by County
CLARKE,2025-02,586709.0,293050,FY 2025 Split by County
CLARKE,2025-03,609612.0,245547,FY 2025 Split by County
CLARKE,2025-04,434326.0,187792,FY 2025 Split by County
CLARKE,2025-05,436588.0,240991,FY 2025 Split by County
CLARKE,2025-06,483323.78,241209,FY 2025 Split by County
ELBERT,2024-10,21137.0,1635,FY 2025 Split by County
ELBERT,2024-11,42862.0,2674,FY 2025 Split by County
ELBERT,2024-12,18929.0,2336,FY 2025 Split by County
ELBERT,2025-01,41765.0,2703,FY 2025 Split by County
ELBERT,2025-02,22644.0,1023,FY 2025 Split by County
ELBERT,2025-03,22272.0,2272,FY 2025 Split by County
ELBERT,2025-04,21547.0,1303,FY 2025 Split by County
ELBERT,2025-05,15101.0,2361,FY 2025 Split by County
ELBERT,2025-06,27528.5,6415,FY 2025 Split by County
FBSHARE,2024-09,5151.0,5151,FY 2025 Split by County
FBSHARE,2024-10,20207.0,18215,FY 2025 Split by County
FRANKLIN,2022-07,36493.0,9897,FY 2023 Split by County
FRANKLIN,2022-08,28969.0,6771,FY 2023 Split by County
FRANKLIN,2022-09,26614.0,5274,FY 2023 Split by County
FRANKLIN,2022-10,27886.0,7847,FY 2023 Split by County
FRANKLIN,2022-11,32776.0,8856,FY 2023 Split by County
FRANKLIN,2022-12,33712.0,10944,FY 2023 Split by County
FRANKLIN,2023-01,35540.0,11029,FY 2023 Split by County
FRANKLIN,2023-02,18987.0,11056,FY 2023 Split by County
FRANKLIN,2023-03,26861.0,8510,FY 2023 Split by County
FRANKLIN,2023-04,22355.0,3991,FY 2023 Split by County
FRANKLIN,2023-05,20417.0,6148,FY 2023 Split by County
FRANKLIN,2023-06,28101.0,8465,FY 2023 Split by County
FRANKLIN,2023-07,24302.0,7487,FY 2024 Split by County
FRANKLIN,2023-08,24458.0,7114,FY 2024 Split by County
FRANKLIN,2023-09,47465.0,21683,FY 2024 Split by County
FRANKLIN,2023-10,26755.0,10338,FY 2024 Split by County
FRANKLIN,2023-11,38346.0,7426,FY 2024 Split by County
FRANKLIN,2023-12,20402.0,6571,FY 2024 Split by County
FRANKLIN,2024-01,52225.0,22295,FY 2024 Split by County
FRANKLIN,2024-02,36729.0,7531,FY 2024 Split by County
FRANKLIN,2024-03,41092.0,8446,FY 2024 Split by County
FRANKLIN,2024-04,46270.0,10943,FY 2024 Split by County
FRANKLIN,2024-05,49140.0,7766,FY 2024 Split by County
FRANKLIN,2024-06,35570.7,6189,FY 2024 Split by County
FRANKLIN,2024-07,57475.0,10613,FY 2025 Split by County
FRANKLIN,2024-08,35984.0,9451,FY 2025 Split by County
FRANKLIN,2024-09,40965.0,12362,FY 2025 Split by County
FRANKLIN,2024-10,39545.0,14626,FY 2025 Split by County
FRANKLIN,2024-11,52217.0,14255,FY 2025 Split by County
FRANKLIN,2024-12,36248.0,12398,FY 2025 Split by County
FRANKLIN,2025-01,26057.0,12234,FY 2025 Split by County
FRANKLIN,2025-02,45125.0,16340,FY 2025 Split by County
FRANKLIN,2025-03,44766.0,19463,FY 2025 Split by County
FRANKLIN,2025-04,51281.0,17725,FY 2025 Split by County
FRANKLIN,2025-05,54542.0,22639,FY 2025 Split by County
FRANKLIN,2025-06,41428.08,19746,FY 2025 Split by County
HABERSHAM,2022-07,63710.0,35832,FY 2023 Split by County
HABERSHAM,2022-08,84201.0,43899,FY 2023 Split by County
HABERSHAM,2022-09,79465.0,41241,FY 2023 Split by County
HABERSHAM,2022-10,101257.0,62911,FY 2023 Split by County
HABERSHAM,2022-11,76614.0,41225,FY 2023 Split by County
HABERSHAM,2022-12,78214.0,51882,FY 2023 Split by County
HABERSHAM,2023-01,88504.0,48431,FY 2023 Split by County
HABERSHAM,2023-02,68245.0,57772,FY 2023 Split by County
HABERSHAM,2023-03,84181.0,49189,FY 2023 Split by County
HABERSHAM,2023-04,65622.0,32173,FY 2023 Split by County
HABERSHAM,2023-05,74832.0,43942,FY 2023 Split by County
HABERSHAM,2023-06,77669.0,49124,FY 2023 Split by County
