County,Agency,Time,dist_volume,delta,pct_change
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2022-07,0.0,0.0,0.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2022-08,3712.0,3712.0,inf
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2022-09,0.0,-3712.0,-100.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2022-10,0.0,0.0,0.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2022-11,3715.0,3715.0,inf
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2022-12,0.0,-3715.0,-100.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2023-01,0.0,0.0,0.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2023-02,2424.0,2424.0,inf
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2023-03,0.0,-2424.0,-100.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2023-04,0.0,0.0,0.0
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2023-05,2053.0,2053.0,inf
BANKS_FY2023,Alto C.H. Church Benevolent- The Grace House,2023-06,0.0,-2053.0,-100.0
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2022-07,2342.0,0.0,0.0
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2022-08,1038.0,-1304.0,-55.679
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2022-09,0.0,-1038.0,-100.0
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2022-10,2250.0,2250.0,inf
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2022-11,1140.0,-1110.0,-49.333
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2022-12,0.0,-1140.0,-100.0
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2023-01,1014.0,1014.0,inf
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2023-02,900.0,-114.0,-11.243
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2023-03,216.0,-684.0,-76.0
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2023-04,1981.0,1765.0,817.13
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2023-05,0.0,-1981.0,-100.0
BANKS_FY2023,Banks: Homer UMC Senior Staples Program,2023-06,0.0,0.0,0.0
BANKS_FY2023,Damascus Baptist Church,2022-07,707.0,0.0,0.0
BANKS_FY2023,Damascus Baptist Church,2022-08,1412.0,705.0,99.717
BANKS_FY2023,Damascus Baptist Church,2022-09,1431.0,19.0,1.346
BANKS_FY2023,Damascus Baptist Church,2022-10,2059.0,628.0,43.885
BANKS_FY2023,Damascus Baptist Church,2022-11,1819.0,-240.0,-11.656
BANKS_FY2023,Damascus Baptist Church,2022-12,1349.0,-470.0,-25.838
