County,Agency,Time,dist_volume,delta,pct_change
BARROW_FY2025,1025 Church,2024-07 to 2025-05,0.0,0.0,0.0
BARROW_FY2025,1025 Church,2025-06,11913.0,11913.0,inf
BARROW_FY2025,Auburn First Baptist Church,2024-07,2460.0,0.0,0.0
BARROW_FY2025,Auburn First Baptist Church,2024-08,4251.0,1791.0,72.805
BARROW_FY2025,Auburn First Baptist Church,2024-09,2898.0,-1353.0,-31.828
BARROW_FY2025,Auburn First Baptist Church,2024-10,3102.0,204.0,7.039
BARROW_FY2025,Auburn First Baptist Church,2024-11,3018.0,-84.0,-2.708
BARROW_FY2025,Auburn First Baptist Church,2024-12,2291.0,-727.0,-24.089
BARROW_FY2025,Auburn First Baptist Church,2025-01,3835.0,1544.0,67.394
BARROW_FY2025,Auburn First Baptist Church,2025-02,2280.0,-1555.0,-40.548
BARROW_FY2025,Auburn First Baptist Church,2025-03,2344.0,64.0,2.807
BARROW_FY2025,Auburn First Baptist Church,2025-04,3255.0,911.0,38.865
BARROW_FY2025,Auburn First Baptist Church,2025-05,3360.0,105.0,3.226
BARROW_FY2025,Auburn First Baptist Church,2025-06,2233.0,-1127.0,-33.542
BARROW_FY2025,Barrow County Food Pantry,2024-07,60301.0,0.0,0.0
BARROW_FY2025,Barrow County Food Pantry,2024-08,48402.0,-11899.0,-19.733
BARROW_FY2025,Barrow County Food Pantry,2024-09,55950.0,7548.0,15.594
BARROW_FY2025,Barrow County Food Pantry,2024-10,53602.0,-2348.0,-4.197
BARROW_FY2025,Barrow County Food Pantry,2024-11,58579.0,4977.0,9.285
BARROW_FY2025,Barrow County Food Pantry,2024-12,60072.0,1493.0,2.549
BARROW_FY2025,Barrow County Food Pantry,2025-01,43495.0,-16577.0,-27.595
BARROW_FY2025,Barrow County Food Pantry,2025-02,37919.0,-5576.0,-12.82
BARROW_FY2025,Barrow County Food Pantry,2025-03,40361.0,2442.0,6.44
BARROW_FY2025,Barrow County Food Pantry,2025-04,52920.0,12559.0,31.117
BARROW_FY2025,Barrow County Food Pantry,2025-05,33050.0,-19870.0,-37.547
BARROW_FY2025,Barrow County Food Pantry,2025-06,10971.0,-22079.0,-66.805
BARROW_FY2025,Bear Creek First Baptist Church,2024-07 to 2024-09,0.0,0.0,0.0
BARROW_FY2025,Bear Creek First Baptist Church,2024-10,11900.0,11900.0,inf
BARROW_FY2025,Bear Creek First Baptist Church,2024-11,0.0,-11900.0,-100.0
BARROW_FY2025,Bear Creek First Baptist Church,2024-12 to 2025-02,0.0,0.0,0.0
BARROW_FY2025,Bear Creek First Baptist Church,2025-03,11880.0,11880.0,inf
BARROW_FY2025,Bear Creek First Baptist Church,2025-04,0.0,-11880.0,-100.0
BARROW_FY2025,Bear Creek First Baptist Church,2025-05 to 2025-06,0.0,0.0,0.0
BARROW_FY2025,Bethlehem FUMC,2024-07 to 2024-09,0.0,0.0,0.0
BARROW_FY2025,Bethlehem FUMC,2024-10,3897.0,3897.0,inf
BARROW_FY2025,Bethlehem FUMC,2024-11,999.0,-2898.0,-74.365
BARROW_FY2025,Bethlehem FUMC,2024-12,2084.0,1085.0,108.609
BARROW_FY2025,Bethlehem FUMC,2025-01,2534.0,450.0,21.593
BARROW_FY2025,Bethlehem FUMC,2025-02,1853.0,-681.0,-26.875
BARROW_FY2025,Bethlehem FUMC,2025-03,3192.0,1339.0,72.261
BARROW_FY2025,Bethlehem FUMC,2025-04,2330.0,-862.0,-27.005
