County,Agency,Time,dist_volume,delta,pct_change
CLARKE_FY2024,1st Step Program,2023-07 to 2023-09,0.0,0.0,0.0
CLARKE_FY2024,1st Step Program,2023-10,2031.0,2031.0,inf
CLARKE_FY2024,1st Step Program,2023-11,0.0,-2031.0,-100.0
CLARKE_FY2024,1st Step Program,2023-12 to 2024-06,0.0,0.0,0.0
CLARKE_FY2024,AIDS Athens (Live Forward),2023-07,391.0,0.0,0.0
CLARKE_FY2024,AIDS Athens (Live Forward),2023-08,0.0,-391.0,-100.0
CLARKE_FY2024,AIDS Athens (Live Forward),2023-09,616.0,616.0,inf
CLARKE_FY2024,AIDS Athens (Live Forward),2023-10,540.0,-76.0,-12.338
CLARKE_FY2024,AIDS Athens (Live Forward),2023-11,520.0,-20.0,-3.704
CLARKE_FY2024,AIDS Athens (Live Forward),2023-12,393.0,-127.0,-24.423
CLARKE_FY2024,AIDS Athens (Live Forward),2024-01,0.0,-393.0,-100.0
CLARKE_FY2024,AIDS Athens (Live Forward),2024-02 to 2024-05,0.0,0.0,0.0
CLARKE_FY2024,AIDS Athens (Live Forward),2024-06,708.0,708.0,inf
CLARKE_FY2024,Acceptance Recovery Center Inc.,2023-07,1516.0,0.0,0.0
CLARKE_FY2024,Acceptance Recovery Center Inc.,2023-08,2063.0,547.0,36.082
CLARKE_FY2024,Acceptance Recovery Center Inc.,2023-09,1119.0,-944.0,-45.759
CLARKE_FY2024,Acceptance Recovery Center Inc.,2023-10,1716.0,597.0,53.351
CLARKE_FY2024,Acceptance Recovery Center Inc.,2023-11,2419.0,703.0,40.967
CLARKE_FY2024,Acceptance Recovery Center Inc.,2023-12,1457.0,-962.0,-39.768
CLARKE_FY2024,Acceptance Recovery Center Inc.,2024-01,1937.0,480.0,32.944
CLARKE_FY2024,Acceptance Recovery Center Inc.,2024-02,4228.0,2291.0,118.276
CLARKE_FY2024,Acceptance Recovery Center Inc.,2024-03,1617.0,-2611.0,-61.755
CLARKE_FY2024,Acceptance Recovery Center Inc.,2024-04,2605.0,988.0,61.101
CLARKE_FY2024,Acceptance Recovery Center Inc.,2024-05,2184.0,-421.0,-16.161
CLARKE_FY2024,Acceptance Recovery Center Inc.,2024-06,1304.0,-880.0,-40.293
CLARKE_FY2024,Advantage Behavioral Health System - Homeless Day Center,2023-07 to 2024-01,0.0,0.0,0.0
CLARKE_FY2024,Advantage Behavioral Health System - Homeless Day Center,2024-02,685.0,685.0,inf
