County,Agency,Time,dist_volume,delta,pct_change
FRANKLIN_FY2023,F2K 360 Franklin,2022-07,0.0,0.0,0.0
FRANKLIN_FY2023,F2K 360 Franklin,2022-08,2625.0,2625.0,inf
FRANKLIN_FY2023,F2K 360 Franklin,2022-09,0.0,-2625.0,-100.0
FRANKLIN_FY2023,F2K 360 Franklin,2022-10 to 2023-06,0.0,0.0,0.0
FRANKLIN_FY2023,Food to Kids Franklin County,2022-07 to 2022-09,0.0,0.0,0.0
FRANKLIN_FY2023,Food to Kids Franklin County,2022-10,468.0,468.0,inf
FRANKLIN_FY2023,Food to Kids Franklin County,2022-11,624.0,156.0,33.333
FRANKLIN_FY2023,Food to Kids Franklin County,2022-12,780.0,156.0,25.0
FRANKLIN_FY2023,Food to Kids Franklin County,2023-01,468.0,-312.0,-40.0
FRANKLIN_FY2023,Food to Kids Franklin County,2023-02,624.0,156.0,33.333
FRANKLIN_FY2023,Food to Kids Franklin County,2023-03,624.0,0.0,0.0
FRANKLIN_FY2023,Food to Kids Franklin County,2023-04,936.0,312.0,50.0
FRANKLIN_FY2023,Food to Kids Franklin County,2023-05,468.0,-468.0,-50.0
FRANKLIN_FY2023,Food to Kids Franklin County,2023-06,624.0,156.0,33.333
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2022-07,606.0,0.0,0.0
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2022-08,0.0,-606.0,-100.0
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2022-09,0.0,0.0,0.0
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2022-10,551.0,551.0,inf
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2022-11,1637.0,1086.0,197.096
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2022-12,0.0,-1637.0,-100.0
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2023-01,531.0,531.0,inf
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2023-02,463.0,-68.0,-12.806
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2023-03,0.0,-463.0,-100.0
FRANKLIN_FY2023,Franklin: Step of Faith Senior Staples Program,2023-04 to 2023-06,0.0,0.0,0.0
FRANKLIN_FY2023,Lavonia Church of God,2022-07,17206.0,0.0,0.0
FRANKLIN_FY2023,Lavonia Church of God,2022-08,9132.0,-8074.0,-46.925
FRANKLIN_FY2023,Lavonia Church of God,2022-09,11568.0,2436.0,26.675
FRANKLIN_FY2023,Lavonia Church of God,2022-10,13541.0,1973.0,17.056
FRANKLIN_FY2023,Lavonia Church of God,2022-11,8948.0,-4593.0,-33.919
FRANKLIN_FY2023,Lavonia Church of God,2022-12,12276.0,3328.0,37.193
FRANKLIN_FY2023,Lavonia Church of God,2023-01,13940.0,1664.0,13.555
FRANKLIN_FY2023,Lavonia Church of God,2023-02,11323.0,-2617.0,-18.773
FRANKLIN_FY2023,Lavonia Church of God,2023-03,8782.0,-2541.0,-22.441
FRANKLIN_FY2023,Lavonia Church of God,2023-04,7992.0,-790.0,-8.996
FRANKLIN_FY2023,Lavonia Church of God,2023-05,9104.0,1112.0,13.914
FRANKLIN_FY2023,Lavonia Church of God,2023-06,11885.0,2781.0,30.547
FRANKLIN_FY2023,Lavonia Presbyterian Church,2022-07 to 2023-06,0.0,0.0,0.0
FRANKLIN_FY2023,New Beginnings Ministry,2022-07,3152.0,0.0,0.0
FRANKLIN_FY2023,New Beginnings Ministry,2022-08,4647.0,1495.0,47.43
FRANKLIN_FY2023,New Beginnings Ministry,2022-09,4826.0,179.0,3.852
FRANKLIN_FY2023,New Beginnings Ministry,2022-10,1519.0,-3307.0,-68.525
FRANKLIN_FY2023,New Beginnings Ministry,2022-11,4998.0,3479.0,229.032
FRANKLIN_FY2023,New Beginnings Ministry,2022-12,3580.0,-1418.0,-28.371
FRANKLIN_FY2023,New Beginnings Ministry,2023-01,3918.0,338.0,9.441
FRANKLIN_FY2023,New Beginnings Ministry,2023-02,2719.0,-1199.0,-30.602
FRANKLIN_FY2023,New Beginnings Ministry,2023-03,5176.0,2457.0,90.364
FRANKLIN_FY2023,New Beginnings Ministry,2023-04,3096.0,-2080.0,-40.185
FRANKLIN_FY2023,New Beginnings Ministry,2023-05,3066.0,-30.0,-0.969
FRANKLIN_FY2023,New Beginnings Ministry,2023-06,3240.0,174.0,5.675
FRANKLIN_FY2023,Oasis Community Outreach,2022-07 to 2022-08,0.0,0.0,0.0
FRANKLIN_FY2023,Oasis Community Outreach,2022-09,1295.0,1295.0,inf
FRANKLIN_FY2023,Oasis Community Outreach,2022-10,1728.0,433.0,33.436
FRANKLIN_FY2023,Oasis Community Outreach,2022-11,0.0,-1728.0,-100.0
FRANKLIN_FY2023,Oasis Community Outreach,2022-12,5379.0,5379.0,inf
FRANKLIN_FY2023,Oasis Community Outreach,2023-01,0.0,-5379.0,-100.0
FRANKLIN_FY2023,Oasis Community Outreach,2023-02 to 2023-06,0.0,0.0,0.0
FRANKLIN_FY2023,Rainbow Pantry,2022-07,10317.0,0.0,0.0
FRANKLIN_FY2023,Rainbow Pantry,2022-08,8433.0,-1884.0,-18.261
FRANKLIN_FY2023,Rainbow Pantry,2022-09,6050.0,-2383.0,-28.258
FRANKLIN_FY2023,Rainbow Pantry,2022-10,5549.0,-501.0,-8.281
FRANKLIN_FY2023,Rainbow Pantry,2022-11,5797.0,248.0,4.469
FRANKLIN_FY2023,Rainbow Pantry,2022-12,4839.0,-958.0,-16.526
FRANKLIN_FY2023,Rainbow Pantry,2023-01,13486.0,8647.0,178.694
FRANKLIN_FY2023,Rainbow Pantry,2023-02,2748.0,-10738.0,-79.623
FRANKLIN_FY2023,Rainbow Pantry,2023-03,8503.0,5755.0,209.425
FRANKLIN_FY2023,Rainbow Pantry,2023-04,7649.0,-854.0,-10.044
FRANKLIN_FY2023,Rainbow Pantry,2023-05,5693.0,-1956.0,-25.572
FRANKLIN_FY2023,Rainbow Pantry,2023-06,7759.0,2066.0,36.29
FRANKLIN_FY2023,Royston Housing Authority,2022-07,640.0,0.0,0.0
FRANKLIN_FY2023,Royston Housing Authority,2022-08,109.0,-531.0,-82.969
FRANKLIN_FY2023,Royston Housing Authority,2022-09,314.0,205.0,188.073
FRANKLIN_FY2023,Royston Housing Authority,2022-10,722.0,408.0,129.936
FRANKLIN_FY2023,Royston Housing Authority,2022-11,4085.0,3363.0,465.789
FRANKLIN_FY2023,Royston Housing Authority,2022-12,284.0,-3801.0,-93.048
FRANKLIN_FY2023,Royston Housing Authority,2023-01,726.0,442.0,155.634
FRANKLIN_FY2023,Royston Housing Authority,2023-02,421.0,-305.0,-42.011
FRANKLIN_FY2023,Royston Housing Authority,2023-03,1194.0,773.0,183.61
FRANKLIN_FY2023,Royston Housing Authority,2023-04,869.0,-325.0,-27.219
FRANKLIN_FY2023,Royston Housing Authority,2023-05,1176.0,307.0,35.328
FRANKLIN_FY2023,Royston Housing Authority,2023-06,544.0,-632.0,-53.741
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2022-07,1203.0,0.0,0.0
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2022-08,176.0,-1027.0,-85.37
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2022-09,2019.0,1843.0,1047.159
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2022-10,347.0,-1672.0,-82.813
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2022-11,2231.0,1884.0,542.939
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2022-12,6290.0,4059.0,181.936
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2023-01,0.0,-6290.0,-100.0
FRANKLIN_FY2023,"Step of Faith Outreach, INC",2023-02 to 2023-04,0.0,0.0,0.0
