County,Agency,Time,dist_volume,delta,pct_change
HABERSHAM_FY2024,Ballew House Outreach,2023-07,283.0,0.0,0.0
HABERSHAM_FY2024,Ballew House Outreach,2023-08,177.0,-106.0,-37.456
HABERSHAM_FY2024,Ballew House Outreach,2023-09,275.0,98.0,55.367
HABERSHAM_FY2024,Ballew House Outreach,2023-10,209.0,-66.0,-24.0
HABERSHAM_FY2024,Ballew House Outreach,2023-11,193.0,-16.0,-7.656
HABERSHAM_FY2024,Ballew House Outreach,2023-12,202.0,9.0,4.663
HABERSHAM_FY2024,Ballew House Outreach,2024-01,152.0,-50.0,-24.752
HABERSHAM_FY2024,Ballew House Outreach,2024-02,423.0,271.0,178.289
HABERSHAM_FY2024,Ballew House Outreach,2024-03,242.0,-181.0,-42.79
HABERSHAM_FY2024,Ballew House Outreach,2024-04,391.0,149.0,61.57
HABERSHAM_FY2024,Ballew House Outreach,2024-05,307.0,-84.0,-21.483
HABERSHAM_FY2024,Ballew House Outreach,2024-06,314.0,7.0,2.28
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2023-07,1377.0,0.0,0.0
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2023-08,3635.0,2258.0,163.98
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2023-09,814.0,-2821.0,-77.607
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2023-10,0.0,-814.0,-100.0
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2023-11,0.0,0.0,0.0
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2023-12,961.0,961.0,inf
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2024-01,943.0,-18.0,-1.873
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2024-02,0.0,-943.0,-100.0
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2024-03,321.0,321.0,inf
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2024-04,0.0,-321.0,-100.0
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2024-05,555.0,555.0,inf
HABERSHAM_FY2024,Breaking Chains Ministries d.b.a Freedom Hill,2024-06,930.0,375.0,67.568
HABERSHAM_FY2024,Circle of Hope,2023-07,548.0,0.0,0.0
HABERSHAM_FY2024,Circle of Hope,2023-08,655.0,107.0,19.526
HABERSHAM_FY2024,Circle of Hope,2023-09,79.0,-576.0,-87.939
HABERSHAM_FY2024,Circle of Hope,2023-10,472.0,393.0,497.468
HABERSHAM_FY2024,Circle of Hope,2023-11,59.0,-413.0,-87.5
HABERSHAM_FY2024,Circle of Hope,2023-12,115.0,56.0,94.915
HABERSHAM_FY2024,Circle of Hope,2024-01,488.0,373.0,324.348
HABERSHAM_FY2024,Circle of Hope,2024-02,395.0,-93.0,-19.057
HABERSHAM_FY2024,Circle of Hope,2024-03,306.0,-89.0,-22.532
HABERSHAM_FY2024,Circle of Hope,2024-04,352.0,46.0,15.033
HABERSHAM_FY2024,Circle of Hope,2024-05,896.0,544.0,154.545
HABERSHAM_FY2024,Circle of Hope,2024-06,128.0,-768.0,-85.714
HABERSHAM_FY2024,Clarkesville Church of God,2023-07,4283.0,0.0,0.0
HABERSHAM_FY2024,Clarkesville Church of God,2023-08,5864.0,1581.0,36.913
HABERSHAM_FY2024,Clarkesville Church of God,2023-09,3961.0,-1903.0,-32.452
HABERSHAM_FY2024,Clarkesville Church of God,2023-10,3295.0,-666.0,-16.814
HABERSHAM_FY2024,Clarkesville Church of God,2023-11,3991.0,696.0,21.123
HABERSHAM_FY2024,Clarkesville Church of God,2023-12,3618.0,-373.0,-9.346
HABERSHAM_FY2024,Clarkesville Church of God,2024-01,4745.0,1127.0,31.15
HABERSHAM_FY2024,Clarkesville Church of God,2024-02,4293.0,-452.0,-9.526
HABERSHAM_FY2024,Clarkesville Church of God,2024-03,4087.0,-206.0,-4.799
HABERSHAM_FY2024,Clarkesville Church of God,2024-04,3698.0,-389.0,-9.518
