County,Agency,Time,dist_volume,delta,pct_change
HART_FY2025,Anointed Hands Outreach Ministry Inc,2024-07 to 2025-01,0.0,0.0,0.0
HART_FY2025,Anointed Hands Outreach Ministry Inc,2025-02,8686.0,8686.0,inf
HART_FY2025,Anointed Hands Outreach Ministry Inc,2025-03,1950.0,-6736.0,-77.55
HART_FY2025,Anointed Hands Outreach Ministry Inc,2025-04,1315.0,-635.0,-32.564
HART_FY2025,Anointed Hands Outreach Ministry Inc,2025-05,1117.0,-198.0,-15.057
HART_FY2025,Anointed Hands Outreach Ministry Inc,2025-06,503.0,-614.0,-54.969
HART_FY2025,Bethany Baptist Church,2024-07,816.0,0.0,0.0
HART_FY2025,Bethany Baptist Church,2024-08,893.0,77.0,9.436
HART_FY2025,Bethany Baptist Church,2024-09,756.0,-137.0,-15.342
HART_FY2025,Bethany Baptist Church,2024-10,1007.0,251.0,33.201
HART_FY2025,Bethany Baptist Church,2024-11,0.0,-1007.0,-100.0
HART_FY2025,Bethany Baptist Church,2024-12,0.0,0.0,0.0
HART_FY2025,Bethany Baptist Church,2025-01,845.0,845.0,inf
HART_FY2025,Bethany Baptist Church,2025-02,1244.0,399.0,47.219
HART_FY2025,Bethany Baptist Church,2025-03,907.0,-337.0,-27.09
HART_FY2025,Bethany Baptist Church,2025-04,175.0,-732.0,-80.706
HART_FY2025,Bethany Baptist Church,2025-05,774.0,599.0,342.286
HART_FY2025,Bethany Baptist Church,2025-06,856.0,82.0,10.594
HART_FY2025,"Christian Worship Assembly, INC",2024-07,17239.0,0.0,0.0
HART_FY2025,"Christian Worship Assembly, INC",2024-08,15765.0,-1474.0,-8.55
HART_FY2025,"Christian Worship Assembly, INC",2024-09,0.0,-15765.0,-100.0
HART_FY2025,"Christian Worship Assembly, INC",2024-10,2664.0,2664.0,inf
HART_FY2025,"Christian Worship Assembly, INC",2024-11,12078.0,9414.0,353.378
HART_FY2025,"Christian Worship Assembly, INC",2024-12,4850.0,-7228.0,-59.844
HART_FY2025,"Christian Worship Assembly, INC",2025-01,14785.0,9935.0,204.845
HART_FY2025,"Christian Worship Assembly, INC",2025-02,7883.0,-6902.0,-46.682
HART_FY2025,"Christian Worship Assembly, INC",2025-03,0.0,-7883.0,-100.0
HART_FY2025,"Christian Worship Assembly, INC",2025-04,17236.0,17236.0,inf
HART_FY2025,"Christian Worship Assembly, INC",2025-05,2796.0,-14440.0,-83.778
HART_FY2025,"Christian Worship Assembly, INC",2025-06,3097.0,301.0,10.765
HART_FY2025,Cornerstone Baptist Church,2024-07,7720.0,0.0,0.0
HART_FY2025,Cornerstone Baptist Church,2024-08,7528.0,-192.0,-2.487
HART_FY2025,Cornerstone Baptist Church,2024-09,7422.0,-106.0,-1.408
HART_FY2025,Cornerstone Baptist Church,2024-10,7261.0,-161.0,-2.169
HART_FY2025,Cornerstone Baptist Church,2024-11,7254.0,-7.0,-0.096
HART_FY2025,Cornerstone Baptist Church,2024-12,5908.0,-1346.0,-18.555
HART_FY2025,Cornerstone Baptist Church,2025-01,8005.0,2097.0,35.494
HART_FY2025,Cornerstone Baptist Church,2025-02,7873.0,-132.0,-1.649
HART_FY2025,Cornerstone Baptist Church,2025-03,10372.0,2499.0,31.741
HART_FY2025,Cornerstone Baptist Church,2025-04,7725.0,-2647.0,-25.521
HART_FY2025,Cornerstone Baptist Church,2025-05,8123.0,398.0,5.152
HART_FY2025,Cornerstone Baptist Church,2025-06,0.0,-8123.0,-100.0
HART_FY2025,Decal Grant Hart Head Start,2024-07 to 2024-08,0.0,0.0,0.0
HART_FY2025,Decal Grant Hart Head Start,2024-09,703.0,703.0,inf
HART_FY2025,Decal Grant Hart Head Start,2024-10,684.0,-19.0,-2.703
HART_FY2025,Decal Grant Hart Head Start,2024-11,1848.0,1164.0,170.175
HART_FY2025,Decal Grant Hart Head Start,2024-12,746.0,-1102.0,-59.632
HART_FY2025,Decal Grant Hart Head Start,2025-01,2008.0,1262.0,169.169
HART_FY2025,Decal Grant Hart Head Start,2025-02,2329.0,321.0,15.986
HART_FY2025,Decal Grant Hart Head Start,2025-03,714.0,-1615.0,-69.343
HART_FY2025,Decal Grant Hart Head Start,2025-04,765.0,51.0,7.143
HART_FY2025,Decal Grant Hart Head Start,2025-05,0.0,-765.0,-100.0
HART_FY2025,Decal Grant Hart Head Start,2025-06,0.0,0.0,0.0
HART_FY2025,Hart County ALC/MSFP,2024-07 to 2024-08,0.0,0.0,0.0
