County,Agency,Time,dist_volume,delta,pct_change
OCONEE_FY2023,Churches Homes Foundation,2022-07,435.0,0.0,0.0
OCONEE_FY2023,Churches Homes Foundation,2022-08,313.0,-122.0,-28.046
OCONEE_FY2023,Churches Homes Foundation,2022-09,305.0,-8.0,-2.556
OCONEE_FY2023,Churches Homes Foundation,2022-10,373.0,68.0,22.295
OCONEE_FY2023,Churches Homes Foundation,2022-11,388.0,15.0,4.021
OCONEE_FY2023,Churches Homes Foundation,2022-12,286.0,-102.0,-26.289
OCONEE_FY2023,Churches Homes Foundation,2023-01,212.0,-74.0,-25.874
OCONEE_FY2023,Churches Homes Foundation,2023-02,290.0,78.0,36.792
OCONEE_FY2023,Churches Homes Foundation,2023-03,267.0,-23.0,-7.931
OCONEE_FY2023,Churches Homes Foundation,2023-04,473.0,206.0,77.154
OCONEE_FY2023,Churches Homes Foundation,2023-05,311.0,-162.0,-34.249
OCONEE_FY2023,Churches Homes Foundation,2023-06,331.0,20.0,6.431
OCONEE_FY2023,Extra Special People (ESP),2022-07 to 2022-09,0.0,0.0,0.0
OCONEE_FY2023,Extra Special People (ESP),2022-10,76.0,76.0,inf
OCONEE_FY2023,Extra Special People (ESP),2022-11,69.0,-7.0,-9.211
OCONEE_FY2023,Extra Special People (ESP),2022-12,0.0,-69.0,-100.0
OCONEE_FY2023,Extra Special People (ESP),2023-01,21.0,21.0,inf
OCONEE_FY2023,Extra Special People (ESP),2023-02,0.0,-21.0,-100.0
OCONEE_FY2023,Extra Special People (ESP),2023-03,0.0,0.0,0.0
OCONEE_FY2023,Extra Special People (ESP),2023-04,37.0,37.0,inf
OCONEE_FY2023,Extra Special People (ESP),2023-05,0.0,-37.0,-100.0
OCONEE_FY2023,Extra Special People (ESP),2023-06,0.0,0.0,0.0
OCONEE_FY2023,"Grace Fellowship Church, INC",2022-07,5983.0,0.0,0.0
OCONEE_FY2023,"Grace Fellowship Church, INC",2022-08,4645.0,-1338.0,-22.363
OCONEE_FY2023,"Grace Fellowship Church, INC",2022-09,6760.0,2115.0,45.533
OCONEE_FY2023,"Grace Fellowship Church, INC",2022-10,11030.0,4270.0,63.166
OCONEE_FY2023,"Grace Fellowship Church, INC",2022-11,10279.0,-751.0,-6.809
OCONEE_FY2023,"Grace Fellowship Church, INC",2022-12,10009.0,-270.0,-2.627
OCONEE_FY2023,"Grace Fellowship Church, INC",2023-01,4291.0,-5718.0,-57.129
OCONEE_FY2023,"Grace Fellowship Church, INC",2023-02,9930.0,5639.0,131.415
OCONEE_FY2023,"Grace Fellowship Church, INC",2023-03,8802.0,-1128.0,-11.36
OCONEE_FY2023,"Grace Fellowship Church, INC",2023-04,8376.0,-426.0,-4.84
OCONEE_FY2023,"Grace Fellowship Church, INC",2023-05,7100.0,-1276.0,-15.234
OCONEE_FY2023,"Grace Fellowship Church, INC",2023-06,11578.0,4478.0,63.07
OCONEE_FY2023,Living Word Baptist Church,2022-07,6317.0,0.0,0.0
OCONEE_FY2023,Living Word Baptist Church,2022-08,8814.0,2497.0,39.528
OCONEE_FY2023,Living Word Baptist Church,2022-09,5900.0,-2914.0,-33.061
OCONEE_FY2023,Living Word Baptist Church,2022-10,9102.0,3202.0,54.271
OCONEE_FY2023,Living Word Baptist Church,2022-11,10036.0,934.0,10.261
OCONEE_FY2023,Living Word Baptist Church,2022-12,8659.0,-1377.0,-13.721
OCONEE_FY2023,Living Word Baptist Church,2023-01,6999.0,-1660.0,-19.171
OCONEE_FY2023,Living Word Baptist Church,2023-02,9822.0,2823.0,40.334
OCONEE_FY2023,Living Word Baptist Church,2023-03,7197.0,-2625.0,-26.726
OCONEE_FY2023,Living Word Baptist Church,2023-04,13042.0,5845.0,81.214
OCONEE_FY2023,Living Word Baptist Church,2023-05,7391.0,-5651.0,-43.329
OCONEE_FY2023,Living Word Baptist Church,2023-06,10882.0,3491.0,47.233
OCONEE_FY2023,Oconee County Senior Center,2022-07,1272.0,0.0,0.0
OCONEE_FY2023,Oconee County Senior Center,2022-08,651.0,-621.0,-48.821
OCONEE_FY2023,Oconee County Senior Center,2022-09,265.0,-386.0,-59.293
OCONEE_FY2023,Oconee County Senior Center,2022-10,603.0,338.0,127.547
OCONEE_FY2023,Oconee County Senior Center,2022-11,510.0,-93.0,-15.423
OCONEE_FY2023,Oconee County Senior Center,2022-12,514.0,4.0,0.784
OCONEE_FY2023,Oconee County Senior Center,2023-01,345.0,-169.0,-32.879
OCONEE_FY2023,Oconee County Senior Center,2023-02,219.0,-126.0,-36.522
OCONEE_FY2023,Oconee County Senior Center,2023-03,269.0,50.0,22.831
OCONEE_FY2023,Oconee County Senior Center,2023-04,233.0,-36.0,-13.383
OCONEE_FY2023,Oconee County Senior Center,2023-05,0.0,-233.0,-100.0
OCONEE_FY2023,Oconee County Senior Center,2023-06,0.0,0.0,0.0
