County,Agency,Time,dist_volume,delta,pct_change
OGLETHORPE_FY2024,Burt's United Methodist Church,2023-07,1065.0,0.0,0.0
OGLETHORPE_FY2024,Burt's United Methodist Church,2023-08,2312.0,1247.0,117.089
OGLETHORPE_FY2024,Burt's United Methodist Church,2023-09,2952.0,640.0,27.682
OGLETHORPE_FY2024,Burt's United Methodist Church,2023-10,448.0,-2504.0,-84.824
OGLETHORPE_FY2024,Burt's United Methodist Church,2023-11,1341.0,893.0,199.33
OGLETHORPE_FY2024,Burt's United Methodist Church,2023-12,2419.0,1078.0,80.388
OGLETHORPE_FY2024,Burt's United Methodist Church,2024-01,2046.0,-373.0,-15.42
OGLETHORPE_FY2024,Burt's United Methodist Church,2024-02,202.0,-1844.0,-90.127
OGLETHORPE_FY2024,Burt's United Methodist Church,2024-03,2578.0,2376.0,1176.238
OGLETHORPE_FY2024,Burt's United Methodist Church,2024-04,2581.0,3.0,0.116
OGLETHORPE_FY2024,Burt's United Methodist Church,2024-05,2218.0,-363.0,-14.064
OGLETHORPE_FY2024,Burt's United Methodist Church,2024-06,221.18,-1996.82,-90.028
OGLETHORPE_FY2024,Crawford Pentecostal Church,2023-07 to 2024-04,0.0,0.0,0.0
OGLETHORPE_FY2024,Crawford Pentecostal Church,2024-05,794.0,794.0,inf
OGLETHORPE_FY2024,Crawford Pentecostal Church,2024-06,2561.0,1767.0,222.544
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2023-07 to 2023-08,0.0,0.0,0.0
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2023-09,5633.0,5633.0,inf
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2023-10,0.0,-5633.0,-100.0
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2023-11,8180.0,8180.0,inf
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2023-12,10581.0,2401.0,29.352
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2024-01,0.0,-10581.0,-100.0
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2024-02,0.0,0.0,0.0
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2024-03,5203.0,5203.0,inf
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2024-04,8480.0,3277.0,62.983
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2024-05,194.0,-8286.0,-97.712
OGLETHORPE_FY2024,Food 2 Kids Oglethorpe County,2024-06,0.0,-194.0,-100.0
OGLETHORPE_FY2024,Lexington Baptist Church,2023-07,17137.0,0.0,0.0
OGLETHORPE_FY2024,Lexington Baptist Church,2023-08,13369.0,-3768.0,-21.988
OGLETHORPE_FY2024,Lexington Baptist Church,2023-09,14872.0,1503.0,11.242
