County,Agency,Time,dist_volume,delta,pct_change
RABUN_FY2023,Fight Abuse in the Home (FAITH),2022-07 to 2023-04,0.0,0.0,0.0
RABUN_FY2023,Fight Abuse in the Home (FAITH),2023-05,73.0,73.0,inf
RABUN_FY2023,Fight Abuse in the Home (FAITH),2023-06,0.0,-73.0,-100.0
RABUN_FY2023,Flat Creek Baptist Church,2022-07,0.0,0.0,0.0
RABUN_FY2023,Flat Creek Baptist Church,2022-08,1271.0,1271.0,inf
RABUN_FY2023,Flat Creek Baptist Church,2022-09,0.0,-1271.0,-100.0
RABUN_FY2023,Flat Creek Baptist Church,2022-10,786.0,786.0,inf
RABUN_FY2023,Flat Creek Baptist Church,2022-11,233.0,-553.0,-70.356
RABUN_FY2023,Flat Creek Baptist Church,2022-12,0.0,-233.0,-100.0
RABUN_FY2023,Flat Creek Baptist Church,2023-01,0.0,0.0,0.0
RABUN_FY2023,Flat Creek Baptist Church,2023-02,1302.0,1302.0,inf
RABUN_FY2023,Flat Creek Baptist Church,2023-03,404.0,-898.0,-68.971
RABUN_FY2023,Flat Creek Baptist Church,2023-04,0.0,-404.0,-100.0
RABUN_FY2023,Flat Creek Baptist Church,2023-05 to 2023-06,0.0,0.0,0.0
RABUN_FY2023,Food 2 Kids Rabun County,2022-07,0.0,0.0,0.0
RABUN_FY2023,Food 2 Kids Rabun County,2022-08,3000.0,3000.0,inf
RABUN_FY2023,Food 2 Kids Rabun County,2022-09,21.0,-2979.0,-99.3
RABUN_FY2023,Food 2 Kids Rabun County,2022-10,630.0,609.0,2900.0
RABUN_FY2023,Food 2 Kids Rabun County,2022-11,1170.0,540.0,85.714
RABUN_FY2023,Food 2 Kids Rabun County,2022-12,1424.0,254.0,21.709
RABUN_FY2023,Food 2 Kids Rabun County,2023-01,839.0,-585.0,-41.081
RABUN_FY2023,Food 2 Kids Rabun County,2023-02,1020.0,181.0,21.573
RABUN_FY2023,Food 2 Kids Rabun County,2023-03,1014.0,-6.0,-0.588
RABUN_FY2023,Food 2 Kids Rabun County,2023-04,1522.0,508.0,50.099
RABUN_FY2023,Food 2 Kids Rabun County,2023-05,760.0,-762.0,-50.066
RABUN_FY2023,Food 2 Kids Rabun County,2023-06,1015.0,255.0,33.553
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2022-07,44722.0,0.0,0.0
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2022-08,25663.0,-19059.0,-42.617
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2022-09,28154.0,2491.0,9.707
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2022-10,8567.0,-19587.0,-69.571
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2022-11,15655.0,7088.0,82.736
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2022-12,6328.0,-9327.0,-59.578
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2023-01,134394.0,128066.0,2023.799
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2023-02,5548.0,-128846.0,-95.872
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2023-03,12918.0,7370.0,132.841
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2023-04,22261.0,9343.0,72.325
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2023-05,6653.0,-15608.0,-70.114
RABUN_FY2023,Food Bank of Northeast Georgia Rabun,2023-06,16526.0,9873.0,148.399
RABUN_FY2023,Freedom Ministries Lighthouse,2022-07,2072.0,0.0,0.0
RABUN_FY2023,Freedom Ministries Lighthouse,2022-08,1601.0,-471.0,-22.732
RABUN_FY2023,Freedom Ministries Lighthouse,2022-09,494.0,-1107.0,-69.144
RABUN_FY2023,Freedom Ministries Lighthouse,2022-10,791.0,297.0,60.121
RABUN_FY2023,Freedom Ministries Lighthouse,2022-11,769.0,-22.0,-2.781
RABUN_FY2023,Freedom Ministries Lighthouse,2022-12,795.0,26.0,3.381
RABUN_FY2023,Freedom Ministries Lighthouse,2023-01,1232.0,437.0,54.969
RABUN_FY2023,Freedom Ministries Lighthouse,2023-02,1791.0,559.0,45.373
RABUN_FY2023,Freedom Ministries Lighthouse,2023-03,824.0,-967.0,-53.992
RABUN_FY2023,Freedom Ministries Lighthouse,2023-04,604.0,-220.0,-26.699
RABUN_FY2023,Freedom Ministries Lighthouse,2023-05,1548.0,944.0,156.291
RABUN_FY2023,Freedom Ministries Lighthouse,2023-06,904.0,-644.0,-41.602
RABUN_FY2023,Mountain Grove Baptist Church,2022-07,1595.0,0.0,0.0
RABUN_FY2023,Mountain Grove Baptist Church,2022-08,928.0,-667.0,-41.818
RABUN_FY2023,Mountain Grove Baptist Church,2022-09,671.0,-257.0,-27.694
RABUN_FY2023,Mountain Grove Baptist Church,2022-10,379.0,-292.0,-43.517
RABUN_FY2023,Mountain Grove Baptist Church,2022-11,662.0,283.0,74.67
RABUN_FY2023,Mountain Grove Baptist Church,2022-12,579.0,-83.0,-12.538
RABUN_FY2023,Mountain Grove Baptist Church,2023-01,1263.0,684.0,118.135
RABUN_FY2023,Mountain Grove Baptist Church,2023-02,931.0,-332.0,-26.287
RABUN_FY2023,Mountain Grove Baptist Church,2023-03,906.0,-25.0,-2.685
RABUN_FY2023,Mountain Grove Baptist Church,2023-04,645.0,-261.0,-28.808
RABUN_FY2023,Mountain Grove Baptist Church,2023-05,598.0,-47.0,-7.287
RABUN_FY2023,Mountain Grove Baptist Church,2023-06,232.0,-366.0,-61.204
RABUN_FY2023,Persimmon Baptist Church,2022-07,536.0,0.0,0.0
RABUN_FY2023,Persimmon Baptist Church,2022-08,865.0,329.0,61.381
RABUN_FY2023,Persimmon Baptist Church,2022-09,696.0,-169.0,-19.538
RABUN_FY2023,Persimmon Baptist Church,2022-10,669.0,-27.0,-3.879
RABUN_FY2023,Persimmon Baptist Church,2022-11,264.0,-405.0,-60.538
RABUN_FY2023,Persimmon Baptist Church,2022-12,350.0,86.0,32.576
RABUN_FY2023,Persimmon Baptist Church,2023-01,393.0,43.0,12.286
RABUN_FY2023,Persimmon Baptist Church,2023-02,381.0,-12.0,-3.053
RABUN_FY2023,Persimmon Baptist Church,2023-03,450.0,69.0,18.11
RABUN_FY2023,Persimmon Baptist Church,2023-04,208.0,-242.0,-53.778
RABUN_FY2023,Persimmon Baptist Church,2023-05,517.0,309.0,148.558
RABUN_FY2023,Persimmon Baptist Church,2023-06,412.0,-105.0,-20.309
RABUN_FY2023,Place of Hope NGA,2022-07 to 2023-01,0.0,0.0,0.0
RABUN_FY2023,Place of Hope NGA,2023-02,193.0,193.0,inf
RABUN_FY2023,Place of Hope NGA,2023-03,107.0,-86.0,-44.56
RABUN_FY2023,Place of Hope NGA,2023-04,66.0,-41.0,-38.318
RABUN_FY2023,Place of Hope NGA,2023-05,90.0,24.0,36.364
RABUN_FY2023,Place of Hope NGA,2023-06,106.0,16.0,17.778
RABUN_FY2023,Rabun Christian Food Ministry,2022-07,1394.0,0.0,0.0
RABUN_FY2023,Rabun Christian Food Ministry,2022-08,2815.0,1421.0,101.937
RABUN_FY2023,Rabun Christian Food Ministry,2022-09,2871.0,56.0,1.989
RABUN_FY2023,Rabun Christian Food Ministry,2022-10,3310.0,439.0,15.291
RABUN_FY2023,Rabun Christian Food Ministry,2022-11,2634.0,-676.0,-20.423
RABUN_FY2023,Rabun Christian Food Ministry,2022-12,3571.0,937.0,35.573
RABUN_FY2023,Rabun Christian Food Ministry,2023-01,3596.0,25.0,0.7
RABUN_FY2023,Rabun Christian Food Ministry,2023-02,3366.0,-230.0,-6.396
RABUN_FY2023,Rabun Christian Food Ministry,2023-03,3048.0,-318.0,-9.447
RABUN_FY2023,Rabun Christian Food Ministry,2023-04,2345.0,-703.0,-23.064
RABUN_FY2023,Rabun Christian Food Ministry,2023-05,3998.0,1653.0,70.49
RABUN_FY2023,Rabun Christian Food Ministry,2023-06,2993.0,-1005.0,-25.138
RABUN_FY2023,Rabun County Family Connection,2022-07,319.0,0.0,0.0
RABUN_FY2023,Rabun County Family Connection,2022-08,0.0,-319.0,-100.0
RABUN_FY2023,Rabun County Family Connection,2022-09 to 2022-11,0.0,0.0,0.0
RABUN_FY2023,Rabun County Family Connection,2022-12,34.0,34.0,inf
RABUN_FY2023,Rabun County Family Connection,2023-01,0.0,-34.0,-100.0
RABUN_FY2023,Rabun County Family Connection,2023-02,0.0,0.0,0.0
RABUN_FY2023,Rabun County Family Connection,2023-03,83.0,83.0,inf
RABUN_FY2023,Rabun County Family Connection,2023-04,0.0,-83.0,-100.0
RABUN_FY2023,Rabun County Family Connection,2023-05,0.0,0.0,0.0
RABUN_FY2023,Rabun County Family Connection,2023-06,566.0,566.0,inf
RABUN_FY2023,Rabun Gap Presbyterian Church,2022-07,53866.0,0.0,0.0
RABUN_FY2023,Rabun Gap Presbyterian Church,2022-08,42611.0,-11255.0,-20.894
RABUN_FY2023,Rabun Gap Presbyterian Church,2022-09,50664.0,8053.0,18.899
RABUN_FY2023,Rabun Gap Presbyterian Church,2022-10,66469.0,15805.0,31.196
RABUN_FY2023,Rabun Gap Presbyterian Church,2022-11,39523.0,-26946.0,-40.539
RABUN_FY2023,Rabun Gap Presbyterian Church,2022-12,49199.0,9676.0,24.482
RABUN_FY2023,Rabun Gap Presbyterian Church,2023-01,42032.0,-7167.0,-14.567
RABUN_FY2023,Rabun Gap Presbyterian Church,2023-02,48251.0,6219.0,14.796
RABUN_FY2023,Rabun Gap Presbyterian Church,2023-03,43401.0,-4850.0,-10.052
RABUN_FY2023,Rabun Gap Presbyterian Church,2023-04,57694.0,14293.0,32.932
RABUN_FY2023,Rabun Gap Presbyterian Church,2023-05,46686.0,-11008.0,-19.08
RABUN_FY2023,Rabun Gap Presbyterian Church,2023-06,50850.0,4164.0,8.919
RABUN_FY2023,Sharing and Caring - Clayton,2022-07,1299.0,0.0,0.0
RABUN_FY2023,Sharing and Caring - Clayton,2022-08,824.0,-475.0,-36.567
RABUN_FY2023,Sharing and Caring - Clayton,2022-09,2076.0,1252.0,151.942
RABUN_FY2023,Sharing and Caring - Clayton,2022-10,840.0,-1236.0,-59.538
RABUN_FY2023,Sharing and Caring - Clayton,2022-11,919.0,79.0,9.405
RABUN_FY2023,Sharing and Caring - Clayton,2022-12,986.0,67.0,7.291
RABUN_FY2023,Sharing and Caring - Clayton,2023-01,1931.0,945.0,95.842
RABUN_FY2023,Sharing and Caring - Clayton,2023-02,825.0,-1106.0,-57.276
RABUN_FY2023,Sharing and Caring - Clayton,2023-03,812.0,-13.0,-1.576
RABUN_FY2023,Sharing and Caring - Clayton,2023-04,1531.0,719.0,88.547
RABUN_FY2023,Sharing and Caring - Clayton,2023-05,809.0,-722.0,-47.159
RABUN_FY2023,Sharing and Caring - Clayton,2023-06,2099.0,1290.0,159.456
RABUN_FY2023,Wolf Creek Baptist Church,2022-07,588.0,0.0,0.0
RABUN_FY2023,Wolf Creek Baptist Church,2022-08,0.0,-588.0,-100.0
RABUN_FY2023,Wolf Creek Baptist Church,2022-09,63.0,63.0,inf
RABUN_FY2023,Wolf Creek Baptist Church,2022-10,0.0,-63.0,-100.0
RABUN_FY2023,Wolf Creek Baptist Church,2022-11 to 2022-12,0.0,0.0,0.0
RABUN_FY2023,Wolf Creek Baptist Church,2023-01,350.0,350.0,inf
RABUN_FY2023,Wolf Creek Baptist Church,2023-02,0.0,-350.0,-100.0
RABUN_FY2023,Wolf Creek Baptist Church,2023-03,396.0,396.0,inf
RABUN_FY2023,Wolf Creek Baptist Church,2023-04,0.0,-396.0,-100.0
RABUN_FY2023,Wolf Creek Baptist Church,2023-05,727.0,727.0,inf
RABUN_FY2023,Wolf Creek Baptist Church,2023-06,17.0,-710.0,-97.662
RABUN_FY2023,Wolffork Baptist Church,2022-07 to 2022-09,0.0,0.0,0.0
RABUN_FY2023,Wolffork Baptist Church,2022-10,408.0,408.0,inf
RABUN_FY2023,Wolffork Baptist Church,2022-11,0.0,-408.0,-100.0
