County,Agency,Time,dist_volume,delta,pct_change
STEPHENS_FY2025,Camp Toccoa (Camp Fire GA),2024-07,131.0,0.0,0.0
STEPHENS_FY2025,Camp Toccoa (Camp Fire GA),2024-08,0.0,-131.0,-100.0
STEPHENS_FY2025,Camp Toccoa (Camp Fire GA),2024-09,208.0,208.0,inf
STEPHENS_FY2025,Camp Toccoa (Camp Fire GA),2024-10,45.0,-163.0,-78.365
STEPHENS_FY2025,Camp Toccoa (Camp Fire GA),2024-11,0.0,-45.0,-100.0
STEPHENS_FY2025,Camp Toccoa (Camp Fire GA),2024-12 to 2025-06,0.0,0.0,0.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2024-07,96.0,0.0,0.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2024-08,0.0,-96.0,-100.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2024-09 to 2024-10,0.0,0.0,0.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2024-11,706.0,706.0,inf
STEPHENS_FY2025,Circle of Hope Transitional Housing,2024-12,124.0,-582.0,-82.436
STEPHENS_FY2025,Circle of Hope Transitional Housing,2025-01,0.0,-124.0,-100.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2025-02 to 2025-03,0.0,0.0,0.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2025-04,52.0,52.0,inf
STEPHENS_FY2025,Circle of Hope Transitional Housing,2025-05,0.0,-52.0,-100.0
STEPHENS_FY2025,Circle of Hope Transitional Housing,2025-06,0.0,0.0,0.0
STEPHENS_FY2025,Faith Restoration Ministries,2024-07 to 2025-03,0.0,0.0,0.0
STEPHENS_FY2025,Faith Restoration Ministries,2025-04,1416.0,1416.0,inf
STEPHENS_FY2025,Faith Restoration Ministries,2025-05,3461.0,2045.0,144.421
STEPHENS_FY2025,Faith Restoration Ministries,2025-06,1427.0,-2034.0,-58.769
STEPHENS_FY2025,First Baptist Church Toccoa,2024-07 to 2024-10,0.0,0.0,0.0
STEPHENS_FY2025,First Baptist Church Toccoa,2024-11,12410.0,12410.0,inf
STEPHENS_FY2025,First Baptist Church Toccoa,2024-12,0.0,-12410.0,-100.0
STEPHENS_FY2025,First Baptist Church Toccoa,2025-01 to 2025-03,0.0,0.0,0.0
STEPHENS_FY2025,First Baptist Church Toccoa,2025-04,11375.0,11375.0,inf
STEPHENS_FY2025,First Baptist Church Toccoa,2025-05,0.0,-11375.0,-100.0
STEPHENS_FY2025,First Baptist Church Toccoa,2025-06,0.0,0.0,0.0
STEPHENS_FY2025,Full Gospel Baptist Church,2024-07,0.0,0.0,0.0
STEPHENS_FY2025,Full Gospel Baptist Church,2024-08,853.0,853.0,inf
STEPHENS_FY2025,Full Gospel Baptist Church,2024-09,385.0,-468.0,-54.865
STEPHENS_FY2025,Full Gospel Baptist Church,2024-10,1054.0,669.0,173.766
STEPHENS_FY2025,Full Gospel Baptist Church,2024-11,1242.0,188.0,17.837
STEPHENS_FY2025,Full Gospel Baptist Church,2024-12,264.0,-978.0,-78.744
STEPHENS_FY2025,Full Gospel Baptist Church,2025-01,355.0,91.0,34.47
STEPHENS_FY2025,Full Gospel Baptist Church,2025-02,848.0,493.0,138.873
STEPHENS_FY2025,Full Gospel Baptist Church,2025-03,1403.0,555.0,65.448
STEPHENS_FY2025,Full Gospel Baptist Church,2025-04,1360.0,-43.0,-3.065
STEPHENS_FY2025,Full Gospel Baptist Church,2025-05,1399.0,39.0,2.868
STEPHENS_FY2025,Full Gospel Baptist Church,2025-06,1140.0,-259.0,-18.513
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2024-07,2113.0,0.0,0.0
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2024-08,41059.0,38946.0,1843.161
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2024-09,3270.0,-37789.0,-92.036
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2024-10,10761.0,7491.0,229.083
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2024-11,11193.0,432.0,4.014
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2024-12,12098.0,905.0,8.085
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2025-01,7819.0,-4279.0,-35.369
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2025-02,10485.0,2666.0,34.096
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2025-03,9953.0,-532.0,-5.074
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2025-04,13428.0,3475.0,34.914
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2025-05,11132.0,-2296.0,-17.099
STEPHENS_FY2025,"Greater Hearts Outreach Ministries, Inc.",2025-06,20916.58,9784.580000000002,87.896
STEPHENS_FY2025,HighPoint Community Worship Center,2024-07,2925.0,0.0,0.0
STEPHENS_FY2025,HighPoint Community Worship Center,2024-08,5233.0,2308.0,78.906
STEPHENS_FY2025,HighPoint Community Worship Center,2024-09,2525.0,-2708.0,-51.749
STEPHENS_FY2025,HighPoint Community Worship Center,2024-10,3864.0,1339.0,53.03
STEPHENS_FY2025,HighPoint Community Worship Center,2024-11,2172.0,-1692.0,-43.789
STEPHENS_FY2025,HighPoint Community Worship Center,2024-12,4105.0,1933.0,88.996
STEPHENS_FY2025,HighPoint Community Worship Center,2025-01,4908.0,803.0,19.562
STEPHENS_FY2025,HighPoint Community Worship Center,2025-02,4375.0,-533.0,-10.86
STEPHENS_FY2025,HighPoint Community Worship Center,2025-03,6654.0,2279.0,52.091
STEPHENS_FY2025,HighPoint Community Worship Center,2025-04,3462.0,-3192.0,-47.971
STEPHENS_FY2025,HighPoint Community Worship Center,2025-05,8963.0,5501.0,158.897
STEPHENS_FY2025,HighPoint Community Worship Center,2025-06,7441.0,-1522.0,-16.981
STEPHENS_FY2025,Hill Street Baptist Church,2024-07,145.0,0.0,0.0
STEPHENS_FY2025,Hill Street Baptist Church,2024-08,1809.0,1664.0,1147.586
STEPHENS_FY2025,Hill Street Baptist Church,2024-09,488.0,-1321.0,-73.024
STEPHENS_FY2025,Hill Street Baptist Church,2024-10,0.0,-488.0,-100.0
STEPHENS_FY2025,Hill Street Baptist Church,2024-11,2627.0,2627.0,inf
STEPHENS_FY2025,Hill Street Baptist Church,2024-12,931.0,-1696.0,-64.56
STEPHENS_FY2025,Hill Street Baptist Church,2025-01,360.0,-571.0,-61.332
STEPHENS_FY2025,Hill Street Baptist Church,2025-02,264.0,-96.0,-26.667
STEPHENS_FY2025,Hill Street Baptist Church,2025-03,1042.0,778.0,294.697
STEPHENS_FY2025,Hill Street Baptist Church,2025-04,1008.0,-34.0,-3.263
STEPHENS_FY2025,Hill Street Baptist Church,2025-05,1853.0,845.0,83.829
STEPHENS_FY2025,Hill Street Baptist Church,2025-06,1797.0,-56.0,-3.022
STEPHENS_FY2025,Martin Baptist Church,2024-07,7513.0,0.0,0.0
STEPHENS_FY2025,Martin Baptist Church,2024-08,7026.0,-487.0,-6.482
STEPHENS_FY2025,Martin Baptist Church,2024-09,15580.0,8554.0,121.748
STEPHENS_FY2025,Martin Baptist Church,2024-10,0.0,-15580.0,-100.0
STEPHENS_FY2025,Martin Baptist Church,2024-11,7517.0,7517.0,inf
STEPHENS_FY2025,Martin Baptist Church,2024-12,7067.0,-450.0,-5.986
STEPHENS_FY2025,Martin Baptist Church,2025-01,6399.0,-668.0,-9.452
STEPHENS_FY2025,Martin Baptist Church,2025-02,9256.0,2857.0,44.648
STEPHENS_FY2025,Martin Baptist Church,2025-03,16888.0,7632.0,82.455
STEPHENS_FY2025,Martin Baptist Church,2025-04,0.0,-16888.0,-100.0
STEPHENS_FY2025,Martin Baptist Church,2025-05,6999.0,6999.0,inf
STEPHENS_FY2025,Martin Baptist Church,2025-06,9120.0,2121.0,30.304
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2024-07,2430.0,0.0,0.0
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2024-08,3551.0,1121.0,46.132
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2024-09,1705.0,-1846.0,-51.985
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2024-10,2072.0,367.0,21.525
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2024-11,838.0,-1234.0,-59.556
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2024-12,1452.0,614.0,73.27
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2025-01,2122.0,670.0,46.143
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2025-02,1564.0,-558.0,-26.296
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2025-03,3745.0,2181.0,139.45
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2025-04,2245.0,-1500.0,-40.053
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2025-05,3979.0,1734.0,77.238
STEPHENS_FY2025,Miracles Happen Recovery Residence INC,2025-06,5866.0,1887.0,47.424
STEPHENS_FY2025,Neighbors 4 Neighbors,2024-07,2485.0,0.0,0.0
STEPHENS_FY2025,Neighbors 4 Neighbors,2024-08,0.0,-2485.0,-100.0
STEPHENS_FY2025,Neighbors 4 Neighbors,2024-09,3140.0,3140.0,inf
STEPHENS_FY2025,Neighbors 4 Neighbors,2024-10,0.0,-3140.0,-100.0
STEPHENS_FY2025,Neighbors 4 Neighbors,2024-11,1044.0,1044.0,inf
STEPHENS_FY2025,Neighbors 4 Neighbors,2024-12,2043.0,999.0,95.69
STEPHENS_FY2025,Neighbors 4 Neighbors,2025-01,0.0,-2043.0,-100.0
STEPHENS_FY2025,Neighbors 4 Neighbors,2025-02,0.0,0.0,0.0
STEPHENS_FY2025,Neighbors 4 Neighbors,2025-03,2562.0,2562.0,inf
STEPHENS_FY2025,Neighbors 4 Neighbors,2025-04,1900.0,-662.0,-25.839
STEPHENS_FY2025,Neighbors 4 Neighbors,2025-05,1820.0,-80.0,-4.211
STEPHENS_FY2025,Neighbors 4 Neighbors,2025-06,2317.0,497.0,27.308
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2024-07,394.0,0.0,0.0
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2024-08,6215.0,5821.0,1477.411
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2024-09,10380.0,4165.0,67.015
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2024-10,1780.0,-8600.0,-82.852
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2024-11,0.0,-1780.0,-100.0
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2024-12,5606.0,5606.0,inf
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2025-01,0.0,-5606.0,-100.0
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2025-02,4234.0,4234.0,inf
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2025-03,720.0,-3514.0,-82.995
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2025-04,7956.0,7236.0,1005.0
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2025-05,19143.0,11187.0,140.611
STEPHENS_FY2025,Neighbors 4 Neighbors F2K,2025-06,0.0,-19143.0,-100.0
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2024-07,826.0,0.0,0.0
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2024-08,917.0,91.0,11.017
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2024-09,924.0,7.0,0.763
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2024-10,957.0,33.0,3.571
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2024-11,443.0,-514.0,-53.71
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2024-12,833.0,390.0,88.036
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2025-01,2675.0,1842.0,221.128
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2025-02,409.0,-2266.0,-84.71
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2025-03,1110.0,701.0,171.394
STEPHENS_FY2025,New Hope Baptist Church Toccoa,2025-04,913.0,-197.0,-17.748
