County,Agency,Time,dist_volume,delta,pct_change
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2022-07,13696.0,0.0,0.0
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2022-08,12011.0,-1685.0,-12.303
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2022-09,10180.0,-1831.0,-15.244
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2022-10,12098.0,1918.0,18.841
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2022-11,10571.0,-1527.0,-12.622
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2022-12,8483.0,-2088.0,-19.752
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2023-01,12341.0,3858.0,45.479
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2023-02,10088.0,-2253.0,-18.256
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2023-03,9291.0,-797.0,-7.9
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2023-04,11051.0,1760.0,18.943
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2023-05,11761.0,710.0,6.425
TOWNS_FY2023,Mt. Zion Ministries - The Refuge,2023-06,9645.0,-2116.0,-17.992
TOWNS_FY2023,Towns County Food Pantry,2022-07,8298.0,0.0,0.0
TOWNS_FY2023,Towns County Food Pantry,2022-08,1805.0,-6493.0,-78.248
TOWNS_FY2023,Towns County Food Pantry,2022-09,5031.0,3226.0,178.726
TOWNS_FY2023,Towns County Food Pantry,2022-10,2109.0,-2922.0,-58.08
TOWNS_FY2023,Towns County Food Pantry,2022-11,6881.0,4772.0,226.268
TOWNS_FY2023,Towns County Food Pantry,2022-12,2064.0,-4817.0,-70.004
TOWNS_FY2023,Towns County Food Pantry,2023-01,4780.0,2716.0,131.589
TOWNS_FY2023,Towns County Food Pantry,2023-02,1930.0,-2850.0,-59.623
TOWNS_FY2023,Towns County Food Pantry,2023-03,6251.0,4321.0,223.886
TOWNS_FY2023,Towns County Food Pantry,2023-04,3055.0,-3196.0,-51.128
TOWNS_FY2023,Towns County Food Pantry,2023-05,4918.0,1863.0,60.982
TOWNS_FY2023,Towns County Food Pantry,2023-06,5233.0,315.0,6.405
