County,Agency,Time,dist_volume,delta,pct_change
WHITE_FY2023,Food 2 Kids White County,2022-07 to 2022-08,0.0,0.0,0.0
WHITE_FY2023,Food 2 Kids White County,2022-09,1093.0,1093.0,inf
WHITE_FY2023,Food 2 Kids White County,2022-10,6976.0,5883.0,538.243
WHITE_FY2023,Food 2 Kids White County,2022-11,7378.0,402.0,5.763
WHITE_FY2023,Food 2 Kids White County,2022-12,6831.0,-547.0,-7.414
WHITE_FY2023,Food 2 Kids White County,2023-01,5564.0,-1267.0,-18.548
WHITE_FY2023,Food 2 Kids White County,2023-02,5382.0,-182.0,-3.271
WHITE_FY2023,Food 2 Kids White County,2023-03,5343.0,-39.0,-0.725
WHITE_FY2023,Food 2 Kids White County,2023-04,7930.0,2587.0,48.418
WHITE_FY2023,Food 2 Kids White County,2023-05,3920.0,-4010.0,-50.567
WHITE_FY2023,Food 2 Kids White County,2023-06,5265.0,1345.0,34.311
WHITE_FY2023,Helen First Baptist Church,2022-07,8732.0,0.0,0.0
WHITE_FY2023,Helen First Baptist Church,2022-08,9755.0,1023.0,11.716
WHITE_FY2023,Helen First Baptist Church,2022-09,8556.0,-1199.0,-12.291
WHITE_FY2023,Helen First Baptist Church,2022-10,8500.0,-56.0,-0.655
WHITE_FY2023,Helen First Baptist Church,2022-11,8120.0,-380.0,-4.471
WHITE_FY2023,Helen First Baptist Church,2022-12,7134.0,-986.0,-12.143
WHITE_FY2023,Helen First Baptist Church,2023-01,8958.0,1824.0,25.568
WHITE_FY2023,Helen First Baptist Church,2023-02,7231.0,-1727.0,-19.279
WHITE_FY2023,Helen First Baptist Church,2023-03,6551.0,-680.0,-9.404
WHITE_FY2023,Helen First Baptist Church,2023-04,10000.0,3449.0,52.648
WHITE_FY2023,Helen First Baptist Church,2023-05,9131.0,-869.0,-8.69
WHITE_FY2023,Helen First Baptist Church,2023-06,7211.0,-1920.0,-21.027
WHITE_FY2023,His Hands and Feet Ministries,2022-07,8515.0,0.0,0.0
WHITE_FY2023,His Hands and Feet Ministries,2022-08,9806.0,1291.0,15.161
WHITE_FY2023,His Hands and Feet Ministries,2022-09,8769.0,-1037.0,-10.575
WHITE_FY2023,His Hands and Feet Ministries,2022-10,9049.0,280.0,3.193
WHITE_FY2023,His Hands and Feet Ministries,2022-11,7660.0,-1389.0,-15.35
WHITE_FY2023,His Hands and Feet Ministries,2022-12,7460.0,-200.0,-2.611
WHITE_FY2023,His Hands and Feet Ministries,2023-01,7779.5,319.5,4.283
WHITE_FY2023,His Hands and Feet Ministries,2023-02,5355.0,-2424.5,-31.165
WHITE_FY2023,His Hands and Feet Ministries,2023-03,7402.0,2047.0,38.226
WHITE_FY2023,His Hands and Feet Ministries,2023-04,6529.0,-873.0,-11.794
WHITE_FY2023,His Hands and Feet Ministries,2023-05,7696.0,1167.0,17.874
WHITE_FY2023,His Hands and Feet Ministries,2023-06,7809.0,113.0,1.468
WHITE_FY2023,Mt. Yonah Baptist Church,2022-07,1663.0,0.0,0.0
WHITE_FY2023,Mt. Yonah Baptist Church,2022-08,2814.0,1151.0,69.212
WHITE_FY2023,Mt. Yonah Baptist Church,2022-09,1029.0,-1785.0,-63.433
WHITE_FY2023,Mt. Yonah Baptist Church,2022-10,969.0,-60.0,-5.831
WHITE_FY2023,Mt. Yonah Baptist Church,2022-11,0.0,-969.0,-100.0
WHITE_FY2023,Mt. Yonah Baptist Church,2022-12,935.0,935.0,inf
WHITE_FY2023,Mt. Yonah Baptist Church,2023-01,1484.0,549.0,58.717
WHITE_FY2023,Mt. Yonah Baptist Church,2023-02,1002.0,-482.0,-32.48
WHITE_FY2023,Mt. Yonah Baptist Church,2023-03,2323.0,1321.0,131.836
WHITE_FY2023,Mt. Yonah Baptist Church,2023-04,0.0,-2323.0,-100.0
WHITE_FY2023,Mt. Yonah Baptist Church,2023-05,0.0,0.0,0.0
WHITE_FY2023,Mt. Yonah Baptist Church,2023-06,260.0,260.0,inf
WHITE_FY2023,Shoal Creek Baptist Church,2022-07,505.0,0.0,0.0
WHITE_FY2023,Shoal Creek Baptist Church,2022-08,1823.0,1318.0,260.99
WHITE_FY2023,Shoal Creek Baptist Church,2022-09,775.0,-1048.0,-57.488
WHITE_FY2023,Shoal Creek Baptist Church,2022-10,2348.0,1573.0,202.968
WHITE_FY2023,Shoal Creek Baptist Church,2022-11,925.0,-1423.0,-60.605
WHITE_FY2023,Shoal Creek Baptist Church,2022-12,817.0,-108.0,-11.676
WHITE_FY2023,Shoal Creek Baptist Church,2023-01,1438.0,621.0,76.01
WHITE_FY2023,Shoal Creek Baptist Church,2023-02,1135.0,-303.0,-21.071
WHITE_FY2023,Shoal Creek Baptist Church,2023-03,721.0,-414.0,-36.476
WHITE_FY2023,Shoal Creek Baptist Church,2023-04,1541.0,820.0,113.731
WHITE_FY2023,Shoal Creek Baptist Church,2023-05,661.0,-880.0,-57.106
WHITE_FY2023,Shoal Creek Baptist Church,2023-06,310.0,-351.0,-53.101
WHITE_FY2023,The Jericho House,2022-07,2516.0,0.0,0.0
WHITE_FY2023,The Jericho House,2022-08,3124.0,608.0,24.165
WHITE_FY2023,The Jericho House,2022-09,887.0,-2237.0,-71.607
WHITE_FY2023,The Jericho House,2022-10,79.0,-808.0,-91.094
WHITE_FY2023,The Jericho House,2022-11,1645.0,1566.0,1982.278
WHITE_FY2023,The Jericho House,2022-12,3221.0,1576.0,95.805
WHITE_FY2023,The Jericho House,2023-01,1082.0,-2139.0,-66.408
WHITE_FY2023,The Jericho House,2023-02,1391.0,309.0,28.558
WHITE_FY2023,The Jericho House,2023-03,1388.0,-3.0,-0.216
WHITE_FY2023,The Jericho House,2023-04,1682.0,294.0,21.182
WHITE_FY2023,The Jericho House,2023-05,2448.0,766.0,45.541
WHITE_FY2023,The Jericho House,2023-06,2430.0,-18.0,-0.735
WHITE_FY2023,White County Food Pantry,2022-07,4818.0,0.0,0.0
WHITE_FY2023,White County Food Pantry,2022-08,9594.0,4776.0,99.128
WHITE_FY2023,White County Food Pantry,2022-09,9665.0,71.0,0.74
WHITE_FY2023,White County Food Pantry,2022-10,5898.0,-3767.0,-38.976
WHITE_FY2023,White County Food Pantry,2022-11,7616.0,1718.0,29.129
WHITE_FY2023,White County Food Pantry,2022-12,5474.0,-2142.0,-28.125
WHITE_FY2023,White County Food Pantry,2023-01,6508.0,1034.0,18.889
WHITE_FY2023,White County Food Pantry,2023-02,5423.0,-1085.0,-16.672
WHITE_FY2023,White County Food Pantry,2023-03,4182.0,-1241.0,-22.884
WHITE_FY2023,White County Food Pantry,2023-04,4090.0,-92.0,-2.2
WHITE_FY2023,White County Food Pantry,2023-05,6289.0,2199.0,53.765
WHITE_FY2023,White County Food Pantry,2023-06,4966.0,-1323.0,-21.037
WHITE_FY2023,White County Medlink Georgia,2022-07 to 2022-10,0.0,0.0,0.0
WHITE_FY2023,White County Medlink Georgia,2022-11,4060.0,4060.0,inf
WHITE_FY2023,White County Medlink Georgia,2022-12,0.0,-4060.0,-100.0
WHITE_FY2023,White County Medlink Georgia,2023-01 to 2023-03,0.0,0.0,0.0
WHITE_FY2023,White County Medlink Georgia,2023-04,6880.0,6880.0,inf
WHITE_FY2023,White County Medlink Georgia,2023-05,0.0,-6880.0,-100.0
WHITE_FY2023,White County Medlink Georgia,2023-06,0.0,0.0,0.0
